"utterance","identifier","path","pred","num_tolerance","support","isbest","iscorrect","isnovel"
1,"dEsɛ̃kʁOnizasjɔ̃","#ʁe:ʁe#","ʁe",2,0.19186447653971073,true,false,false
1,"dEsɛ̃kʁOnizasjɔ̃","#ɔb:ɔb#","ɔb",2,0.16956547523302576,false,false,false
1,"dEsɛ̃kʁOnizasjɔ̃","#nø:nø#","nø",2,0.1632220310002138,false,false,false
1,"dEsɛ̃kʁOnizasjɔ̃","#ty:ty#","ty",2,0.11929606618015091,false,false,false
1,"dEsɛ̃kʁOnizasjɔ̃","#di:dis:is#","dis",2,0.11472422184592466,false,false,true
1,"dEsɛ̃kʁOnizasjɔ̃","#iʁ:iʁ#","iʁ",2,0.0961334013888937,false,false,false
1,"dEsɛ̃kʁOnizasjɔ̃","#di:diz:iz#","diz",2,0.07843399420397915,false,false,true
1,"dEsɛ̃kʁOnizasjɔ̃","#fɛ:fɛ#","fɛ",2,0.07539670759897144,false,false,false
1,"dEsɛ̃kʁOnizasjɔ̃","#go:go#","go",2,0.038743206280319,false,false,false
1,"dEsɛ̃kʁOnizasjɔ̃","#up:up#","up",2,0.02390336422104033,false,false,false
2,"dOkymɑ̃","#kɔ:kɔ̃:ɔ̃d:̃d#","kɔ̃d",2,0.4276387342696578,true,false,true
2,"dOkymɑ̃","#ka:kaʒ:aʒ#","kaʒ",2,0.36010559636005474,false,false,true
2,"dOkymɑ̃","#nø:nø#","nø",2,0.3285904849825667,false,false,false
2,"dOkymɑ̃","#ka:kal:al#","kal",2,0.2921061430110075,false,false,true
2,"dOkymɑ̃","#ʒy:ʒy#","ʒy",2,0.2524790470856753,false,false,false
2,"dOkymɑ̃","#fɛ:fɛ#","fɛ",2,0.20588773085804707,false,false,false
2,"dOkymɑ̃","#si:siɲ:iɲ#","siɲ",2,0.1966192681566238,false,false,true
2,"dOkymɑ̃","#si:sid:id#","sid",2,0.19572291859932256,false,false,true
2,"dOkymɑ̃","#kɔ:kɔʁ:ɔʁ#","kɔʁ",2,0.19263751178669028,false,false,false
2,"dOkymɑ̃","#kɔ:kɔ̃:ɔ̃#","kɔ̃",1,0.1806665466864169,false,false,false
3,"ʒɑ̃vje","#ʒɑ:ʒɑ̃:ɑ̃v:̃vj:vje:je#","ʒɑ̃vje",0,0.9994967921584126,true,true,false
3,"ʒɑ̃vje","#ʒɥ:ʒɥi:ɥij:ijɛ:jɛ#","ʒɥijɛ",0,0.9784035232993346,false,false,false
3,"ʒɑ̃vje","#ʁɑ:ʁɑ̃:ɑ̃v:̃vj:vje:je#","ʁɑ̃vje",2,0.6360081305172813,false,false,true
3,"ʒɑ̃vje","#ʒɥ:ʒɥi:ɥij:ijɛ:jɛm:ɛm#","ʒɥijɛm",2,0.5912747083110689,false,false,true
3,"ʒɑ̃vje","#ʒɥ:ʒɥi:ɥij:ijɛ:jɛ̃:ɛ̃#","ʒɥijɛ̃",2,0.5651939755113361,false,false,true
3,"ʒɑ̃vje","#ʒɥ:ʒɥi:ɥij:ij#","ʒɥij",1,0.5028517252418779,false,false,true
3,"ʒɑ̃vje","#ʒɥ:ʒɥi:ɥij:ijɛ:jɛt:ɛt#","ʒɥijɛt",2,0.49905653806990546,false,false,true
3,"ʒɑ̃vje","#ʒɥ:ʒɥi:ɥij:ija:ja#","ʒɥija",2,0.47857678471751974,false,false,true
3,"ʒɑ̃vje","#ʒɥ:ʒɥi:ɥij:ijɛ:jɛʁ:ɛʁ#","ʒɥijɛʁ",2,0.4711030959785573,false,false,true
3,"ʒɑ̃vje","#ʒɥ:ʒɥi:ɥij:ijɛ:jɛl:ɛl#","ʒɥijɛl",2,0.45034662853823515,false,false,true
4,"kaʃa","#mɛ:mɛ#","mɛ",2,0.6148386901002925,true,false,false
4,"kaʃa","#ʒy:ʒy#","ʒy",2,0.4245252328130929,false,false,false
4,"kaʃa","#ka:kaʁ:aʁ#","kaʁ",2,0.3083397196529397,false,false,true
4,"kaʃa","#up:up#","up",2,0.28292046150389144,false,false,false
4,"kaʃa","#ka:kaj:aj#","kaj",2,0.2512907283281603,false,false,true
4,"kaʃa","#uʃ:uʃ#","uʃ",2,0.20696499875426658,false,false,false
4,"kaʃa","#ka:kal:al#","kal",2,0.20370361442738355,false,false,true
4,"kaʃa","#ɔd:ɔd#","ɔd",2,0.1871732491409239,false,false,false
4,"kaʃa","#ka:kav:av#","kav",2,0.15864948054716047,false,false,false
4,"kaʃa","#ʒe:ʒe#","ʒe",2,0.15494426374686227,false,false,false
5,"ʒOanisbɛʁg","#ʒy:ʒy#","ʒy",2,0.45572435512628146,true,false,false
5,"ʒOanisbɛʁg","#ka:kav:av#","kav",2,0.4382952983790746,false,false,false
5,"ʒOanisbɛʁg","#ka:kaʁ:aʁ#","kaʁ",2,0.41278382875335273,false,false,true
5,"ʒOanisbɛʁg","#ka:kal:al#","kal",2,0.37986109766502085,false,false,true
5,"ʒOanisbɛʁg","#pa:pal:al#","pal",2,0.3540602458791612,false,false,true
5,"ʒOanisbɛʁg","#mɛ:mɛ#","mɛ",2,0.33581170483376444,false,false,false
5,"ʒOanisbɛʁg","#pa:pas:as#","pas",2,0.3197118591094186,false,false,true
5,"ʒOanisbɛʁg","#pa:paj:aj#","paj",2,0.2772422082374807,false,false,false
5,"ʒOanisbɛʁg","#up:up#","up",2,0.2635668900720526,false,false,false
5,"ʒOanisbɛʁg","#uʃ:uʃ#","uʃ",2,0.2515805676626427,false,false,false
6,"ɛ̃tɛʁʁɛɲ","#iʁ:iʁ#","iʁ",2,0.3498168407835898,true,false,false
6,"ɛ̃tɛʁʁɛɲ","#aʁ:aʁk:ʁk#","aʁk",2,0.2990977273098625,false,false,false
6,"ɛ̃tɛʁʁɛɲ","#ɛ̃:ɛ̃t:̃tɛ:tɛl:ɛl#","ɛ̃tɛl",2,0.27671713096117134,false,false,true
6,"ɛ̃tɛʁʁɛɲ","#ɑ̃:ɑ̃#","ɑ̃",1,0.27377926998631824,false,false,false
6,"ɛ̃tɛʁʁɛɲ","#ɛ̃:ɛ̃t:̃to:to#","ɛ̃to",2,0.26523163712245207,false,false,true
6,"ɛ̃tɛʁʁɛɲ","#aʁ:aʁg:ʁg#","aʁg",2,0.26488228195761915,false,false,true
6,"ɛ̃tɛʁʁɛɲ","#ɔb:ɔb#","ɔb",2,0.2619114036839961,false,false,false
6,"ɛ̃tɛʁʁɛɲ","#aʁ:aʁa:ʁa#","aʁa",2,0.2548885932411394,false,false,true
6,"ɛ̃tɛʁʁɛɲ","#ɛ̃:ɛ̃t:̃ti:ti#","ɛ̃ti",2,0.25187002379070994,false,false,true
6,"ɛ̃tɛʁʁɛɲ","#aʁ:aʁɛ:ʁɛ#","aʁɛ",2,0.23911518973808352,false,false,false
7,"Efʁɔ̃te","#ɑ̃:ɑ̃t:̃t#","ɑ̃t",2,0.49945105338985274,true,false,true
7,"Efʁɔ̃te","#ɔd:ɔd#","ɔd",2,0.41128320091377363,false,false,false
7,"Efʁɔ̃te","#ɛ̃:ɛ̃t:̃t#","ɛ̃t",2,0.4029993900450941,false,false,true
7,"Efʁɔ̃te","#ɑ̃:ɑ̃s:̃s#","ɑ̃s",2,0.39641696284395106,false,false,true
7,"Efʁɔ̃te","#Ek:Eko:ko#","Eko",2,0.37321249592482236,false,false,false
7,"Efʁɔ̃te","#ɛ̃:ɛ̃p:̃p#","ɛ̃p",2,0.3705863660479346,false,false,true
7,"Efʁɔ̃te","#aʁ:aʁd:ʁd#","aʁd",2,0.3423001999665874,false,false,true
7,"Efʁɔ̃te","#ɑ̃:ɑ̃ʒ:̃ʒ#","ɑ̃ʒ",2,0.33984399245299995,false,false,true
7,"Efʁɔ̃te","#up:up#","up",2,0.3361149900648425,false,false,false
7,"Efʁɔ̃te","#ɑ̃:ɑ̃k:̃k#","ɑ̃k",2,0.3090860290121121,false,false,true
8,"faʁad","#ɔb:ɔb#","ɔb",2,0.4824226173855295,true,false,false
8,"faʁad","#fa:fat:at#","fat",2,0.38981836850302276,false,false,false
8,"faʁad","#nø:nø#","nø",2,0.31628663502631493,false,false,false
8,"faʁad","#ʒe:ʒe#","ʒe",2,0.27624507375260127,false,false,false
8,"faʁad","#fu:fu#","fu",2,0.257497824080445,false,false,false
8,"faʁad","#go:go#","go",2,0.23935118171467315,false,false,false
8,"faʁad","#ʁe:ʁe#","ʁe",2,0.23521934880910356,false,false,false
8,"faʁad","#mɛ:mɛ#","mɛ",2,0.18001372048429534,false,false,false
8,"faʁad","#fɛ:fɛ#","fɛ",2,0.1437481243726757,false,false,false
8,"faʁad","#fa:fal:al#","fal",2,0.14061946329615824,false,false,true
9,"ʃit","#fu:fu#","fu",2,0.4195129622536517,true,false,false
9,"ʃit","#ʒy:ʒy#","ʒy",2,0.3663798523802885,false,false,false
9,"ʃit","#ka:kal:al#","kal",2,0.3370721419078773,false,false,true
9,"ʃit","#ka:kaʁ:aʁ#","kaʁ",2,0.33587747991414413,false,false,true
9,"ʃit","#ma:man:an#","man",2,0.33337684311188237,false,false,true
9,"ʃit","#ma:maʁ:aʁ#","maʁ",2,0.32747011191970715,false,false,true
9,"ʃit","#ka:kaʒ:aʒ#","kaʒ",2,0.31648964992928663,false,false,true
9,"ʃit","#ka:kaj:aj#","kaj",2,0.30002448699617723,false,false,true
9,"ʃit","#fɛ:fɛ#","fɛ",2,0.29935435548419154,false,false,false
9,"ʃit","#ka:kan:an#","kan",2,0.24225492767153448,false,false,false
10,"paʁ","#pa:paʁ:aʁ#","paʁ",1,0.7563292967855162,true,true,false
10,"paʁ","#pa:paʁ:aʁt:ʁt#","paʁt",2,0.4540447006203737,false,false,true
10,"paʁ","#pa:paʁ:aʁi:ʁi#","paʁi",2,0.4114425059580705,false,false,true
10,"paʁ","#pa:paʁ:aʁd:ʁd#","paʁd",2,0.406525993338159,false,false,true
10,"paʁ","#ʁa:ʁas:as#","ʁas",2,0.3785925890594222,false,false,false
10,"paʁ","#kɔ:kɔ̃:ɔ̃t:̃t#","kɔ̃t",2,0.3525134840672579,false,false,true
10,"paʁ","#pa:pas:as#","pas",2,0.3457141671746131,false,false,true
10,"paʁ","#pa:paʁ:aʁs:ʁs#","paʁs",2,0.33454515470952384,false,false,true
