"utterance","identifier","path","pred","num_tolerance","support","isbest","iscorrect","isnovel"
1,"disgracié","#qu:qua:uar:ara:ran:ant:nte:te-:e-t:-tr:tro:roi:ois:isi:siè:ièm:ème:me#","quarante-troisième",0,0.4782150767064766,true,false,false
1,"disgracié","#qu:qua:uar:ara:ran:ant:nte:te-:e-h:-hu:hui:uit:iti:tiè:ièm:ème:me#","quarante-huitième",0,0.2688995023880517,false,false,false
1,"disgracié","#qu:qua:uar:ara:ran:ant:nte:te-:e-c:-ci:cin:inq:nqu:qui:uiè:ièm:ème:me#","quarante-cinquième",0,0.22213707927098517,false,false,false
1,"disgracié","#qu:qui:uiè:ièm:ème:me#","quième",0,0.15334503304580474,false,false,true
2,"multiforme","#in:ins:nst:sta:tan:ant:nte:te#","instante",0,0.40662008029228625,true,false,false
2,"multiforme","#in:ine:nex:exi:xis:ist:sta:tan:ant:nte:te#","inexistante",0,0.281876259546868,false,false,false
2,"multiforme","#in:inc:nco:con:ons:nst:sta:tan:ant:nte:te#","inconstante",0,0.12924756651532146,false,false,false
3,"réformateur","#ré:réf:éfo:for:orm:rma:mat:ate:teu:eur:ur#","réformateur",0,0.9373090082018809,true,true,false
3,"réformateur","#dé:dém:émo:moc:ocr:cra:rat:ate:te-:e-c:-ch:chr:hré:rét:éti:tie:ien:en#","démocrate-chrétien",0,0.7250744554379718,false,false,false
3,"réformateur","#dé:dém:émo:moc:ocr:cra:rat:ate:teu:eur:ur#","démocrateur",0,0.652883650598914,false,false,true
3,"réformateur","#ré:réf:éfo:for:orm:rma:mat:ate:te-:e-c:-ch:chr:hré:rét:éti:tie:ien:en#","réformate-chrétien",0,0.6172004090604423,false,false,true
3,"réformateur","#an:ant:nti:tis:ist:sta:tal:ali:lin:ini:nie:ien:en#","antistalinien",0,0.5996008667258546,false,false,false
3,"réformateur","#ré:rét:éti:tis:ist:sta:tal:ali:lin:ini:nie:ien:en#","rétistalinien",0,0.41271272468590453,false,false,true
3,"réformateur","#an:ant:nti:tie:ien:en#","antien",0,0.3630795124059183,false,false,true
3,"réformateur","#ré:rét:éti:tie:ien:en#","rétien",0,0.21870607433626868,false,false,true
4,"inavoué","#in:ine:nex:exi:xis:ist:sta:tan:ant:nt#","inexistant",0,0.2730931284445626,true,false,false
4,"inavoué","#in:inc:nco:con:ons:nst:sta:tan:ant:nt#","inconstant",0,0.17077044079616144,false,false,false
4,"inavoué","#in:inh:nha:hal:ala:lan:ant:nt#","inhalant",0,0.11036381574258254,false,false,false
5,"pronostique","#pr:pro:ron:ono:nos:ost:sti:tiq:iqu:que:ue#","pronostique",0,0.9335413080730236,true,true,false
5,"pronostique","#ps:psy:syc:ych:cho:hot:oti:tiq:iqu:que:ue#","psychotique",0,0.33997305640253733,false,false,false
5,"pronostique","#pr:pra:rat:ati:tiq:iqu:que:ue#","pratique",0,0.049944111002334285,false,false,false
6,"républicain","#dé:dém:émo:moc:ocr:cra:rat:ate:tes:es#","démocrates",0,0.7592471998856658,true,false,false
6,"républicain","#dé:dém:émo:moc:ocr:cra:rat:ate:te#","démocrate",0,0.7455289578196954,false,false,false
6,"républicain","#dé:dém:émo:moc:ocr:cra:rat:ate:te-:e-c:-ch:chr:hré:rét:éti:tie:ien:en#","démocrate-chrétien",0,0.641307070656928,false,false,false
7,"massif","#ma:mas:ass:ssi:sif:if#","massif",0,0.8816525770635653,true,true,false
7,"massif","#ma:mas:ass:ssi:sif:ifs:fs#","massifs",0,0.7139579847253206,false,false,false
7,"massif","#pr:pro:rog:ogr:gre:res:ess:ssi:sif:if#","progressif",0,0.3994264441101024,false,false,false
7,"massif","#pr:pro:rog:ogr:gre:res:ess:ssi:sif:ifs:fs#","progressifs",0,0.23414528791241307,false,false,false
8,"inaccoutumé","#ex:exp:xpi:pir:ira:ran:ant:nt#","expirant",0,0.6652141783095925,true,false,false
8,"inaccoutumé","#oy:oya:yan:ant:nt#","oyant",0,0.21136949508359118,false,false,false
8,"inaccoutumé","#ce:ces:ess:ssa:san:ant:nt#","cessant",0,0.1459993323271555,false,false,false
9,"masculin","#ma:mas:asc:scu:cul:uli:lin:in#","masculin",0,0.9579038057045932,true,true,false
9,"masculin","#ho:hom:omo:mos:ose:sex:exu:xue:uel:ell:lle:les:es#","homosexuelles",0,0.3909868707016118,false,false,false
9,"masculin","#ho:hon:ono:nor:ori:rif:ifi:fiq:iqu:que:ues:es#","honorifiques",0,0.2474258238882658,false,false,false
10,"carnassier","#gr:gri:ris:isa:san:ant:nt#","grisant",0,0.45886051505074693,true,false,false
10,"carnassier","#ca:cas:ass:ssa:san:ant:nt#","cassant",0,0.3693407495702657,false,false,false
10,"carnassier","#oy:oya:yan:ant:nt#","oyant",0,0.16893085669799257,false,false,false
11,"spastique","#sp:spa:pas:ast:sti:tiq:iqu:que:ue#","spastique",0,0.9671796886147017,true,true,false
11,"spastique","#so:som:oma:mat:ati:tiq:iqu:que:ue#","somatique",0,0.6347432344615593,false,false,false
11,"spastique","#pr:pra:rat:ati:tiq:iqu:que:ue#","pratique",0,0.09087665146876177,false,false,false
12,"trente-septième","#qu:qua:uar:ara:ran:ant:nte:te-:e-t:-tr:tro:roi:ois:isi:siè:ièm:ème:me#","quarante-troisième",0,0.753484359724178,true,false,false
12,"trente-septième","#tr:tre:ren:ent:nte:te-:e-t:-tr:tro:roi:ois:isi:siè:ièm:ème:me#","trente-troisième",0,0.7506344117107558,false,false,false
12,"trente-septième","#qu:qua:uar:ara:ran:ant:nte:te-:e-h:-hu:hui:uit:iti:tiè:ièm:ème:me#","quarante-huitième",0,0.6524585692749817,false,false,false
12,"trente-septième","#tr:tre:ren:ent:nte:te-:e-h:-hu:hui:uit:iti:tiè:ièm:ème:me#","trente-huitième",0,0.6093988131150283,false,false,true
12,"trente-septième","#tr:tro:roi:ois:isi:siè:ièm:ème:me#","troisième",0,0.24431638183393084,false,false,true
13,"folklorique","#au:aut:uti:tis:ist:sti:tis:ist:sti:tiq:iqu:que:ue#","autististique",0,0.18128798918404415,true,false,true
13,"folklorique","#au:aut:uti:tis:ist:sti:tis:ist:sti:tis:ist:sti:tiq:iqu:que:ue#","autistististique",0,0.1786350227378637,false,false,true
13,"folklorique","#au:aut:uti:tis:ist:sti:tis:ist:sti:tis:ist:sti:tis:ist:sti:tiq:iqu:que:ue#","autististististique",0,0.17199742393482945,false,false,true
13,"folklorique","#au:aut:uti:tis:ist:sti:tis:ist:sti:tis:ist:sti:tis:ist:sti:tis:ist:sti:tiq:iqu:que:ue#","autistististististique",0,0.16678245760861812,false,false,true
13,"folklorique","#po:pol:oli:lit:iti:tis:ist:sti:tiq:iqu:que:ue#","politistique",0,0.16548828426513562,false,false,true
13,"folklorique","#po:pol:oli:lit:iti:tis:ist:sti:tis:ist:sti:tiq:iqu:que:ue#","politististique",0,0.16345829300032094,false,false,true
13,"folklorique","#po:pol:oli:lit:iti:tis:ist:sti:tis:ist:sti:tis:ist:sti:tiq:iqu:que:ue#","politistististique",0,0.15969205655605354,false,false,true
13,"folklorique","#po:pol:oli:lit:iti:tis:ist:sti:tis:ist:sti:tis:ist:sti:tis:ist:sti:tiq:iqu:que:ue#","politististististique",0,0.15674016353174428,false,false,true
13,"folklorique","#pr:pra:rat:ati:tis:ist:sti:tis:ist:sti:tis:ist:sti:tiq:iqu:que:ue#","pratistististique",0,0.15311230247625118,false,false,true
13,"folklorique","#pr:pra:rat:ati:tis:ist:sti:tis:ist:sti:tis:ist:sti:tis:ist:sti:tiq:iqu:que:ue#","pratististististique",0,0.15256122765715266,false,false,true
14,"opportun","#in:inc:nco:con:ons:nst:sti:tit:itu:tut:uti:tio:ion:onn:nne:nel:el#","inconstitutionnel",0,0.3359187984586026,true,false,false
14,"opportun","#co:con:ons:nst:sti:tit:itu:tut:uti:tio:ion:onn:nne:nel:el#","constitutionnel",0,0.3281809109061297,false,false,false
14,"opportun","#co:con:ons:nst:sti:tit:itu:tua:uan:ant:nt#","constituant",0,0.15319832932262803,false,false,false
14,"opportun","#in:inc:nco:con:ons:nst:sti:tit:itu:tua:uan:ant:nt#","inconstituant",0,0.136464756880216,false,false,true
14,"opportun","#co:con:onn:nne:nel:el#","connel",0,0.1239614001845089,false,false,true
14,"opportun","#in:inc:nco:con:onn:nne:nel:el#","inconnel",0,0.1132991472548277,false,false,true
14,"opportun","#co:con:ons:nst:sti:tio:ion:onn:nne:nel:el#","constionnel",0,0.08972373149816922,false,false,true
14,"opportun","#in:inc:nco:con:ons:nst:sti:tio:ion:onn:nne:nel:el#","inconstionnel",0,0.08535101356848009,false,false,true
15,"inconnu","#in:inc:nco:con:onc:nce:cev:eva:vab:abl:ble:le#","inconcevable",0,0.4766036364482289,true,false,false
15,"inconnu","#in:inc:nco:con:onc:nco:con:onc:nce:cev:eva:vab:abl:ble:le#","inconconcevable",0,0.46120253093280533,false,false,true
15,"inconnu","#in:inc:nco:con:ond:nda:dab:abl:ble:le#","incondable",0,0.4094961156191706,false,false,true
15,"inconnu","#in:inc:nco:con:onc:nco:con:ond:nda:dab:abl:ble:le#","inconcondable",0,0.39729272776662033,false,false,true
15,"inconnu","#in:inc:nco:con:onc:nco:con:onc:nco:con:onc:nce:cev:eva:vab:abl:ble:le#","inconconconcevable",0,0.37664023205910013,false,false,true
15,"inconnu","#in:inc:nco:con:onc:nco:con:onc:nco:con:ond:nda:dab:abl:ble:le#","inconconcondable",0,0.3481576310229266,false,false,true
15,"inconnu","#in:inc:nco:con:onc:nco:con:onc:nco:con:onc:nco:con:onc:nce:cev:eva:vab:abl:ble:le#","inconconconconcevable",0,0.3293274720835007,false,false,true
15,"inconnu","#in:inc:nco:con:onc:nco:con:onc:nco:con:onc:nco:con:ond:nda:dab:abl:ble:le#","inconconconcondable",0,0.314832542043169,false,false,true
15,"inconnu","#in:inc:nco:con:onc:nco:con:onc:nco:con:onc:nco:con:onc:nco:con:ond:nda:dab:abl:ble:le#","inconconconconcondable",0,0.2930947472265375,false,false,true
15,"inconnu","#in:ins:nst:sta:tab:abl:ble:le#","instable",0,0.2739502256892841,false,false,false
16,"teint","#dé:dém:éma:maq:aqu:qui:uil:ill:lla:lan:ant:nt#","démaquillant",0,0.5972054143306483,true,false,false
16,"teint","#br:bri:ril:ill:lla:lan:ant:nt#","brillant",0,0.5761988253396543,false,false,false
16,"teint","#cr:cro:rou:ous:ust:sti:til:ill:lla:lan:ant:nt#","croustillant",0,0.38712723573000773,false,false,false
17,"preux","#pr:pre:reu:eux:ux#","preux",0,0.9601201545390118,true,true,false
17,"preux","#pr:pre:reu:eus:use:ses:es#","preuses",0,0.8337988641961244,false,false,true
17,"preux","#sa:sab:abl:ble:leu:eux:ux#","sableux",0,0.08704030664350282,false,false,false
17,"preux","#sa:sab:abl:ble:leu:eus:use:ses:es#","sableuses",0,-0.00045899984186344395,false,false,false
18,"interchangeable","#co:cop:opi:pia:iab:abl:ble:le#","copiable",0,0.3834795235561802,true,false,false
18,"interchangeable","#st:sta:tab:abl:ble:le#","stable",0,0.21554280960217098,false,false,false
18,"interchangeable","#in:ins:nst:sta:tab:abl:ble:le#","instable",0,0.209507453991973,false,false,false
19,"américano-russe","#fr:fra:ran:anc:nco:co-:o-i:-it:ita:tal:ali:lie:ien:enn:nne:ne#","franco-italienne",0,0.5401605268353635,true,false,false
19,"américano-russe","#fr:fra:ran:anc:nco:co-:o-i:-it:ita:tal:ali:lie:ien:enn:nne:nes:es#","franco-italiennes",0,0.4547832204741966,false,false,false
19,"américano-russe","#fr:fra:ran:ans:nss:ssa:sah:aha:har:ari:rie:ien:enn:nne:ne#","franssaharienne",0,0.3286504026781253,false,false,true
19,"américano-russe","#tr:tra:ran:ans:nss:ssa:sah:aha:har:ari:rie:ien:enn:nne:ne#","transsaharienne",0,0.29988557123626935,false,false,false
