"utterance","identifier","path","pred","num_tolerance","support","isbest","iscorrect","isnovel"
1,"abaisser","#ab:abo:bon:onn:nne:ner:er#","abonner",0,0.4466805261885028,true,false,false
1,"abaisser","#al:all:lle:ler:er#","aller",0,0.4047816930128493,false,false,false
1,"abaisser","#ab:abu:bus:use:ser:er#","abuser",0,0.4004203293670106,false,false,false
2,"abandonner","#ac:acc:cce:cep:ept:pte:ter:er#","accepter",0,0.786146476493542,true,false,false
2,"abandonner","#ab:abu:bus:use:ser:er#","abuser",0,0.5455494462406512,false,false,false
2,"abandonner","#ac:acc:cco:cot:ote:ter:er#","accoter",0,0.4248289184099304,false,false,false
3,"abasourdir","#as:ass:sse:sen:ene:ner:er#","assener",0,0.644396889849315,true,false,false
3,"abasourdir","#av:ava:val:ale:ler:er#","avaler",0,0.39917313612598126,false,false,false
3,"abasourdir","#ab:abo:bon:onn:nne:ner:er#","abonner",0,0.1601272555583566,false,false,false
4,"abâtardir","#ab:aba:bai:ais:iss:sse:ser:er#","abaisser",0,0.42862682183941114,true,false,false
4,"abâtardir","#am:ama:mas:ass:sse:ser:er#","amasser",0,0.32748730603126963,false,false,false
4,"abâtardir","#ab:abu:bus:use:ser:er#","abuser",0,0.10789171284899933,false,false,false
5,"abattre","#at:att:tte:ter:er#","atter",0,0.6335973468639787,true,false,true
5,"abattre","#am:ama:mas:ass:sse:ser:er#","amasser",0,0.5423273290734483,false,false,false
5,"abattre","#at:att:tti:tis:ise:ser:er#","attiser",0,0.524220583355606,false,false,false
5,"abattre","#at:att:tte:ten:ent:nte:ter:er#","attenter",0,0.516418519465557,false,false,false
6,"abdiquer","#ab:abd:bdi:diq:iqu:que:uer:er#","abdiquer",0,0.9999811029877732,true,true,false
6,"abdiquer","#ab:abu:bus:use:ser:er#","abuser",0,0.5292244730357908,false,false,false
6,"abdiquer","#ab:abs:bse:sen:ent:nte:ter:er#","absenter",0,0.329869329374557,false,false,false
7,"abêtir","#ab:abo:bon:onn:nne:ner:er#","abonner",0,0.5080371819533691,true,false,false
7,"abêtir","#ab:abo:bom:omi:min:ine:ner:er#","abominer",0,0.34332515597994434,false,false,false
7,"abêtir","#ab:abu:bus:use:ser:er#","abuser",0,0.27750980322829516,false,false,false
8,"abhorrer","#ad:adm:dmi:mir:ire:rer:er#","admirer",0,0.35990338233837044,true,false,false
8,"abhorrer","#ad:ado:don:onn:nne:ner:er#","adonner",0,0.32005993988565345,false,false,false
8,"abhorrer","#ab:abo:bon:onn:nne:ner:er#","abonner",0,0.16571104607383647,false,false,false
9,"abîmer","#ab:abî:bîm:îme:mer:er#","abîmer",0,0.9999948367668652,true,true,false
9,"abîmer","#ab:abu:bus:use:ser:er#","abuser",0,0.4330166277494369,false,false,false
9,"abîmer","#al:all:lle:ler:er#","aller",0,0.3822429129119524,false,false,false
10,"abjurer","#ab:abj:bju:jur:ure:rer:er#","abjurer",0,0.9999884441337968,true,true,false
10,"abjurer","#ab:abr:bri:rit:ite:ter:er#","abriter",0,0.3519035736420506,false,false,false
10,"abjurer","#ab:abo:bon:onn:nne:ner:er#","abonner",0,0.1400571352239604,false,false,false
11,"abolir","#ab:abr:bro:rog:oge:ger:er#","abroger",0,0.8026415817178179,true,false,false
11,"abolir","#ab:abu:bus:use:ser:er#","abuser",0,0.4335899854021464,false,false,false
11,"abolir","#ab:abo:bon:onn:nne:ner:er#","abonner",0,0.19770957671344971,false,false,false
12,"abominer","#ab:abo:bom:omi:min:ine:ner:er#","abominer",0,0.9999509336242102,true,true,false
