"utterance","identifier","path","pred","num_tolerance","support","isbest","iscorrect","isnovel"
1,"disgʁasje","#ly:ly#","ly",2,0.3658956879547002,true,false,false
1,"disgʁasje","#gɛ:gɛ#","gɛ",2,0.35081798433916145,false,false,false
1,"disgʁasje","#si:si#","si",2,0.28647853865528317,false,false,false
1,"disgʁasje","#lɛ:lɛ#","lɛ",2,0.27330079832663645,false,false,false
1,"disgʁasje","#ny:ny#","ny",2,0.2676637827223864,false,false,false
1,"disgʁasje","#ʁu:ʁu#","ʁu",2,0.21993847775397138,false,false,false
1,"disgʁasje","#bɛ:bɛ#","bɛ",2,0.20479455671631533,false,false,false
1,"disgʁasje","#ɛz:ɛz#","ɛz",2,0.19171541963408636,false,false,false
1,"disgʁasje","#bi:bi#","bi",2,0.18658194787721763,false,false,false
1,"disgʁasje","#by:by#","by",2,0.17193116066396727,false,false,false
2,"myltifɔʁm","#my:myl:ylt:lt#","mylt",2,0.347877821981904,true,false,true
2,"myltifɔʁm","#ɛ̃:ɛ̃s:̃si:si#","ɛ̃si",2,0.16691176775019084,false,false,true
2,"myltifɔʁm","#ɛ̃:ɛ̃s:̃se:se#","ɛ̃se",2,0.15063284386473635,false,false,true
2,"myltifɔʁm","#ɛ̃:ɛ̃t:̃ta:ta#","ɛ̃ta",2,0.14917203311890054,false,false,true
2,"myltifɔʁm","#ɛ̃:ɛ̃t:̃t#","ɛ̃t",1,0.14614897298305735,false,false,true
2,"myltifɔʁm","#gɛ:gɛ#","gɛ",2,0.12484050150012603,false,false,false
2,"myltifɔʁm","#ɛ̃:ɛ̃t:̃te:te#","ɛ̃te",2,0.10723970972067778,false,false,true
2,"myltifɔʁm","#ly:ly#","ly",2,0.07226856139865644,false,false,false
2,"myltifɔʁm","#pʁ:pʁø:ʁø#","pʁø",2,0.0506017587001583,false,false,false
2,"myltifɔʁm","#ɛ̃:ɛ̃s:̃sɛ:sɛ#","ɛ̃sɛ",2,0.050525962458547534,false,false,true
3,"ʁEfɔʁmatœʁ","#ɑ̃:ɑ̃t:̃ti:tik:ik#","ɑ̃tik",2,0.34264753075559307,true,false,true
3,"ʁEfɔʁmatœʁ","#ʁE:ʁEa:Ea#","ʁEa",2,0.30517264488102225,false,false,true
3,"ʁEfɔʁmatœʁ","#ɑ̃:ɑ̃t:̃ti:tif:if#","ɑ̃tif",2,0.24154111788006888,false,false,true
3,"ʁEfɔʁmatœʁ","#ɑ̃:ɑ̃s:̃s#","ɑ̃s",2,0.2346429769869468,false,false,true
3,"ʁEfɔʁmatœʁ","#ɑ̃:ɑ̃t:̃ti:til:il#","ɑ̃til",2,0.1953368996736012,false,false,true
3,"ʁEfɔʁmatœʁ","#o#","o",1,0.19383103820134243,false,false,false
3,"ʁEfɔʁmatœʁ","#gɛ:gɛ#","gɛ",2,0.17177974505814045,false,false,false
3,"ʁEfɔʁmatœʁ","#ɑ̃:ɑ̃t:̃ti:tis:is#","ɑ̃tis",2,0.1451934004252678,false,false,true
3,"ʁEfɔʁmatœʁ","#lɛ:lɛ#","lɛ",2,0.14347523887873417,false,false,false
3,"ʁEfɔʁmatœʁ","#pʁ:pʁø:ʁø#","pʁø",2,0.14205595267666546,false,false,false
4,"inavwe","#ɑ̃:ɑ̃t:̃ti:tif:if#","ɑ̃tif",2,0.3824976711541321,true,false,true
4,"inavwe","#in:ini:ni#","ini",2,0.3506437431484275,false,false,true
4,"inavwe","#ɑ̃:ɑ̃t:̃ti:tik:ik#","ɑ̃tik",2,0.3275203889734326,false,false,true
4,"inavwe","#ɑ̃:ɑ̃s:̃s#","ɑ̃s",2,0.30080806846455627,false,false,true
4,"inavwe","#ɑ̃:ɑ̃t:̃te:te#","ɑ̃te",2,0.2716931890867283,false,false,false
4,"inavwe","#in:iny:ny#","iny",2,0.25884051579743367,false,false,true
