"utterance","identifier","path","pred","num_tolerance","support","isbest","iscorrect","isnovel"
1,"à-côté","#am:amu:mus:use:sem:eme:men:ent:nt#","amusement",0,0.4181904024512968,true,false,false
1,"à-côté","#am:amɑ:mɑ̃:ɑ̃#","amɑ̃",0,0.3081392949573253,false,false,false
1,"à-côté","#ag:agi:gis:iss:sse:sem:eme:men:ent:nt#","agissement",0,0.18385358937856316,false,false,false
2,"à-coup","#ba:bar:arr:rri:ris:iss:sse:sem:eme:men:ent:nt#","barrissement",0,0.4999668997238834,true,false,false
2,"à-coup","#ba:bat:atə:təm:əmɑ:mɑ̃:ɑ̃#","batəmɑ̃",0,0.47533642755189537,false,false,false
2,"à-coup","#ba:bai:ais:iss:sse:sem:eme:men:ent:nt#","baissement",0,0.37764890487075004,false,false,false
3,"à-peu-près","#aʁ:aʁa:ʁaʃ:aʃə:ʃəm:əmɑ:mɑ̃:ɑ̃#","aʁaʃəmɑ̃",0,0.29547673336641966,true,false,false
3,"à-peu-près","#aʁ:aʁm:ʁmə:məm:əmɑ:mɑ̃:ɑ̃#","aʁməmɑ̃",0,0.18151897043136236,false,false,false
4,"à-pic","#ba:bar:arr:rri:ris:iss:sse:sem:eme:men:ent:nt#","barrissement",0,0.4055142950409538,true,false,false
4,"à-pic","#ba:bas:ast:ste:tem:eme:men:ent:nt#","bastement",0,0.3767429144157925,false,false,true
4,"à-pic","#ba:bas:ast:ste:te#","baste",0,0.3547028694805322,false,false,false
4,"à-pic","#ba:bat:att:tte:tem:eme:men:ent:nt#","battement",0,0.26049476709616765,false,false,false
4,"à-pic","#ba:bat:att:tte:te#","batte",0,0.22783757540246188,false,false,false
5,"à-plat","#ɑ̃:ɑ̃t:̃ti:tik:iki:kit:ite:te#","ɑ̃tikite",0,0.1591978209845754,true,false,false
5,"à-plat","#ɑ̃:ɑ̃t:̃ti:tis:isi:sit:ite:te#","ɑ̃tisite",0,0.04181412159999323,false,false,false
6,"à-propos","#am:amu:mus:use:sem:eme:men:ent:nt#","amusement",0,0.5495128157971513,true,false,false
6,"à-propos","#am:amɑ:mɑ̃:ɑ̃#","amɑ̃",0,0.3704789070359086,false,false,false
6,"à-propos","#am:amo:mor:ort:rti:tis:iss:sse:sem:eme:men:ent:nt#","amortissement",0,0.22970486620772418,false,false,false
7,"à-valoir","#av:ava:van:ant:nt#","avant",0,0.3670802364285002,true,false,false
7,"à-valoir","#av:ava:val:ale:leu:eur:ur#","avaleur",0,0.2799338956967182,false,false,false
7,"à-valoir","#av:ava:val:alœ:lœʁ:œʁ#","avalœʁ",0,0.023928767483484832,false,false,false
8,"a","#al:al#","al",0,0.29089700277128255,true,false,false
8,"a","#al:ale:le#","ale",0,0.20590388501620258,false,false,false
9,"aa","#am:ami:min:ine:ne#","amine",0,0.3874266948831,true,false,false
9,"aa","#an:ane:ne#","ane",0,0.38010623037968033,false,false,false
9,"aa","#bi:bib:ibi:bin:ine:ne#","bibine",0,0.13363223017346967,false,false,false
10,"abaca","#an:anO:nOt:Ota:tas:asj:sjɔ:jɔ̃:ɔ̃#","anOtasjɔ̃",0,0.32995203319451605,true,false,false
10,"abaca","#al:als:lsj:sjɔ:jɔ̃:ɔ̃#","alsjɔ̃",0,0.23327325877420121,false,false,false
10,"abaca","#ɑ̃:ɑ̃g:̃gl:gli:lis:isi:siz:iza:zas:asj:sjɔ:jɔ̃:ɔ̃#","ɑ̃glisizasjɔ̃",0,0.144125248429555,false,false,false
11,"abaisse-langue","#ba:bab:abi:bin:in#","babin",0,0.5777106197454871,true,false,false
11,"abaisse-langue","#ba:bab:aba:bal:al#","babal",0,0.1832693986115686,false,false,false
11,"abaisse-langue","#ba:bal:al#","bal",0,0.13164536151652698,false,false,false
12,"abaisse","#ar:ari:rie:iet:ett:tte:te#","ariette",0,0.46606598936712285,true,false,false
12,"abaisse","#as:asi:sis:ist:ste:te#","asiste",0,0.15603929593903784,false,false,false
13,"abaissement","#ab:aba:bai:ais:iss:sse:sem:eme:men:ent:nt#","abaissement",0,0.7576674592136103,true,true,false
13,"abaissement","#ap:apl:pla:lat:ati:tis:iss:sse:sem:eme:men:ent:nt#","aplatissement",0,0.5017611952828482,false,false,false
13,"abaissement","#ab:abê:bêt:êti:tis:iss:sse:sem:eme:men:ent:nt#","abêtissement",0,0.2895249701971646,false,false,false
14,"abalone","#ba:bal:al#","bal",0,0.4370236742930912,true,false,false
15,"abandon","#ab:aba:bai:ais:iss:sse:sem:eme:men:ent:nt#","abaissement",0,0.724285883433413,true,false,false
15,"abandon","#ap:apl:pla:lat:ati:tis:iss:sse:sem:eme:men:ent:nt#","aplatissement",0,0.43189097891347916,false,false,false
15,"abandon","#ac:act:cti:tio:ion:onn:nne:nem:eme:men:ent:nt#","actionnement",0,0.39293547070442497,false,false,false
15,"abandon","#ap:apl:pla:lat:ati:tio:ion:onn:nne:nem:eme:men:ent:nt#","aplationnement",0,0.2762577191404586,false,false,true
16,"abandonneur","#an:ani:nim:ima:mat:ate:teu:eur:ur#","animateur",0,0.3035900434814481,true,false,false
16,"abandonneur","#an:ani:nis:ist:st#","anist",0,0.23221695462100206,false,false,true
16,"abandonneur","#ɑ̃:ɑ̃t:̃ti:tif:ifE:fEm:Emi:min:ini:nis:ist:st#","ɑ̃tifEminist",0,0.13644772206230107,false,false,false
17,"abaque","#al:ali:lis:ist:st#","alist",0,0.33675786166578636,true,false,true
17,"abaque","#an:ana:nal:ali:lis:ist:st#","analist",0,0.26209316899678187,false,false,false
17,"abaque","#al:ali:lim:imɑ:mɑ̃:ɑ̃t:̃ta:tas:asj:sjɔ:jɔ̃:ɔ̃#","alimɑ̃tasjɔ̃",0,0.18566189874261893,false,false,false
17,"abaque","#an:ana:nal:ali:lim:imɑ:mɑ̃:ɑ̃t:̃ta:tas:asj:sjɔ:jɔ̃:ɔ̃#","analimɑ̃tasjɔ̃",0,0.1499895186409316,false,false,true
18,"abat-jour","#ɑ̃:ɑ̃#","ɑ̃",0,0.40328604255081163,true,false,false
18,"abat-jour","#ɑ̃:ɑ̃t:̃ti:tis:isi:sit:ite:te#","ɑ̃tisite",0,0.13570867154399938,false,false,false
18,"abat-jour","#ɑ̃:ɑ̃t:̃ti:tia:iav:avɔ:vɔʁ:ɔʁt:ʁtə:təm:əmɑ:mɑ̃:ɑ̃#","ɑ̃tiavɔʁtəmɑ̃",0,0.003283562734349336,false,false,false
18,"abat-jour","#ɑ̃:ɑ̃t:̃ti:tia:iav:avɔ:vɔʁ:ɔʁt:ʁtə:təm:əmɑ:mɑ̃:ɑ̃t:̃ti:tis:isi:sit:ite:te#","ɑ̃tiavɔʁtəmɑ̃tisite",0,-0.09946030500628131,false,false,true
19,"abat-son","#ba:bat:atə:təm:əmɑ:mɑ̃:ɑ̃#","batəmɑ̃",0,0.32216556372672595,true,false,false
19,"abat-son","#ba:bal:alɔ:lɔt:ɔtə:təm:əmɑ:mɑ̃:ɑ̃#","balɔtəmɑ̃",0,0.19300028133266753,false,false,false
20,"abat","#ab:aba:bat:att:tte:teu:eur:ur#","abatteur",0,0.5101722352530516,true,false,false
20,"abat","#ab:aba:bat:att:tte:tem:eme:men:ent:nt#","abattement",0,0.410231734100161,false,false,false
20,"abat","#ar:arr:rri:riè:ièr:ère:re#","arrière",0,0.3693155435628622,false,false,false
21,"abatage","#ab:aba:bat:att:tte:tem:eme:men:ent:nt#","abattement",0,0.5141660085195209,true,false,false
21,"abatage","#ab:aba:bai:ais:iss:sse:sem:eme:men:ent:nt#","abaissement",0,0.4716541647901256,false,false,false
21,"abatage","#ab:aba:bat:atə:təm:əmɑ:mɑ̃:ɑ̃#","abatəmɑ̃",0,0.2612799377853343,false,false,false
22,"abatis","#ab:aba:bat:atə:təm:əmɑ:mɑ̃:ɑ̃#","abatəmɑ̃",0,0.3461506064365959,true,false,false
22,"abatis","#ba:bat:atə:təm:əmɑ:mɑ̃:ɑ̃#","batəmɑ̃",0,0.22687300178312786,false,false,false
23,"abattant","#av:ava:van:ant:nt#","avant",0,0.46607567314802856,true,false,false
23,"abattant","#ap:app:ppe:pes:esa:san:ant:nt#","appesant",0,0.28702407166031085,false,false,true
23,"abattant","#av:ava:van:ant:nti:tis:iss:sse:sem:eme:men:ent:nt#","avantissement",0,0.20182275343597722,false,false,true
23,"abattant","#ab:aba:bai:ais:iss:sse:sem:eme:men:ent:nt#","abaissement",0,0.14742588286802744,false,false,false
23,"abattant","#ap:app:ppe:pes:esa:san:ant:nti:tis:iss:sse:sem:eme:men:ent:nt#","appesantissement",0,0.1167376384430239,false,false,false
23,"abattant","#av:ava:van:ant:nti:tis:iss:sse:sem:eme:men:ent:nti:tis:iss:sse:sem:eme:men:ent:nt#","avantissementissement",0,0.008144887517151837,false,false,true
23,"abattant","#ab:aba:bai:ais:iss:sse:sem:eme:men:ent:nti:tis:iss:sse:sem:eme:men:ent:nt#","abaissementissement",0,-0.045897834598467954,false,false,true
24,"abattement","#ab:aba:bai:ais:iss:sse:sem:eme:men:ent:nt#","abaissement",0,0.5726576291034627,true,false,false
24,"abattement","#as:asy:syʒ:yʒE:ʒEt:Eti:tis:iss:sse:sem:eme:men:ent:nt#","asyʒEtissement",0,0.5363090620091838,false,false,true
24,"abattement","#as:asy:syʒ:yʒE:ʒEt:Eti:tis:isə:səm:əmɑ:mɑ̃:ɑ̃#","asyʒEtisəmɑ̃",0,0.52399567217563,false,false,false
25,"abatteur","#ab:aba:bat:atœ:tœʁ:œʁ#","abatœʁ",0,0.7754142605113188,true,false,false
25,"abatteur","#ab:aba:bat:att:tte:teu:eur:ur#","abatteur",0,0.7153349603447129,false,true,false
25,"abatteur","#ba:bat:atœ:tœʁ:œʁ#","batœʁ",0,0.5820874438686223,false,false,false
25,"abatteur","#ba:bat:att:tte:teu:eur:ur#","batteur",0,0.536809564150573,false,false,false
26,"abattoir","#ab:aba:bat:att:tte:teu:eur:ur#","abatteur",0,0.5149193258922988,true,false,false
26,"abattoir","#ab:aba:bat:att:tte:tem:eme:men:ent:nt#","abattement",0,0.45932707422394675,false,false,false
26,"abattoir","#ba:bat:att:tte:teu:eur:ur#","batteur",0,0.3203335426135882,false,false,false
26,"abattoir","#ba:bat:att:tte:tem:eme:men:ent:nt#","battement",0,0.2258861734754057,false,false,false
27,"abattu","#ba:bat:ate:teu:eur:ur#","bateur",0,0.30951149304551806,true,false,true
27,"abattu","#ba:bat:ate:te#","bate",0,0.2663836280055652,false,false,false
27,"abattu","#ba:bat:att:tte:teu:eur:ur#","batteur",0,0.26448722688753623,false,false,false
27,"abattu","#ba:bat:att:tte:te#","batte",0,0.21276250198979546,false,false,false
28,"abbatiale","#aʁ:aʁʃ:ʁʃ#","aʁʃ",0,0.511770227081955,true,false,false
28,"abbatiale","#aʁ:aʁʃ:ʁʃi:ʃi#","aʁʃi",0,0.2832569133120682,false,false,false
29,"abbaye","#aʁ:aʁʃ:ʁʃ#","aʁʃ",0,0.4688152877816741,true,false,false
29,"abbaye","#ar:arc:rch:chè:hèr:ère:re#","archère",0,0.3030392172926798,false,false,false
29,"abbaye","#ar:arr:rri:riè:ièr:ère:re#","arrière",0,0.2906683915357831,false,false,false
30,"abbé","#ar:arc:rch:chi:hiv:ivi:vis:ist:ste:te#","archiviste",0,0.45154916423660796,true,false,false
30,"abbé","#ar:art:rti:tis:ist:ste:te#","artiste",0,0.4400970036827878,false,false,false
30,"abbé","#ar:arc:rch:chi:his:ist:ste:te#","archiste",0,0.41100209282039046,false,false,true
30,"abbé","#an:ana:nar:arc:rch:chi:hiv:ivi:vis:ist:ste:te#","anarchiviste",0,0.3656440511684553,false,false,true
30,"abbé","#an:ana:nar:arc:rch:chi:his:ist:ste:te#","anarchiste",0,0.35887943411592405,false,false,false
31,"abc","#an:ana:na#","ana",0,0.4844121404761916,true,false,false
31,"abc","#an:ana:nal:ali:lis:ist:st#","analist",0,0.23349660522772936,false,false,false
32,"abcès","#an:ang:ngi:gio:iog:ogr:gra:rap:aph:phi:hie:ie#","angiographie",0,0.563939532098184,true,false,false
32,"abcès","#an:ana:nal:alg:lgé:gés:ési:sie:ie#","analgésie",0,0.42898585752039864,false,false,false
32,"abcès","#an:ana:nar:arc:rch:chi:hie:ie#","anarchie",0,0.20330277523195753,false,false,false
33,"abdication","#ac:act:cti:tio:ion:onn:nne:nem:eme:men:ent:nta:tat:ati:tio:ion:on#","actionnementation",0,0.37411090117779666,true,false,true
33,"abdication","#au:aug:ugm:gme:men:ent:nta:tat:ati:tio:ion:onn:nne:nem:eme:men:ent:nta:tat:ati:tio:ion:on#","augmentationnementation",0,0.3478998977250154,false,false,true
33,"abdication","#ac:act:cti:tio:ion:on#","action",0,0.3271495692914653,false,false,false
33,"abdication","#au:aug:ugm:gme:men:ent:nta:tat:ati:tio:ion:on#","augmentation",0,0.3186725503856117,false,false,false
33,"abdication","#ac:act:cti:tio:ion:onn:nne:nem:eme:men:ent:nta:tat:ati:tio:ion:onn:nne:nem:eme:men:ent:nt#","actionnementationnement",0,0.3138793874197147,false,false,true
33,"abdication","#ac:act:cti:tio:ion:onn:nne:nem:eme:men:ent:nt#","actionnement",0,0.29841091097720185,false,false,false
33,"abdication","#au:aug:ugm:gme:men:ent:nta:tat:ati:tio:ion:onn:nne:nem:eme:men:ent:nt#","augmentationnement",0,0.2938213362900076,false,false,true
33,"abdication","#al:ali:lim:ime:men:ent:nta:tat:ati:tio:ion:onn:nne:nem:eme:men:ent:nta:tat:ati:tio:ion:on#","alimentationnementation",0,0.21056123271843846,false,false,true
33,"abdication","#au:aug:ugm:gme:men:ent:nt#","augment",0,0.11498653408571077,false,false,false
33,"abdication","#al:ali:lim:ime:men:ent:nta:tat:ati:tio:ion:onn:nne:nem:eme:men:ent:nt#","alimentationnement",0,0.11297268600260436,false,false,true
34,"abdo","#ba:bal:alɑ:lɑ̃:ɑ̃s:̃sə:səm:əmɑ:mɑ̃:ɑ̃#","balɑ̃səmɑ̃",0,0.3569140065083474,true,false,false
34,"abdo","#ba:bal:alɔ:lɔt:ɔtə:təm:əmɑ:mɑ̃:ɑ̃#","balɔtəmɑ̃",0,0.32799701895455197,false,false,false
34,"abdo","#ba:bal:alɔ:lɔt:ɔtə:təm:əmɑ:mɑ̃:ɑ̃s:̃sə:səm:əmɑ:mɑ̃:ɑ̃#","balɔtəmɑ̃səmɑ̃",0,0.31189796998832364,false,false,true
34,"abdo","#ba:bal:alɑ:lɑ̃:ɑ̃s:̃sə:səm:əmɑ:mɑ̃:ɑ̃s:̃sə:səm:əmɑ:mɑ̃:ɑ̃#","balɑ̃səmɑ̃səmɑ̃",0,0.303334450534751,false,false,true
34,"abdo","#ba:bal:alɔ:lɔt:ɔtə:təm:əmɑ:mɑ̃:ɑ̃s:̃sə:səm:əmɑ:mɑ̃:ɑ̃s:̃sə:səm:əmɑ:mɑ̃:ɑ̃#","balɔtəmɑ̃səmɑ̃səmɑ̃",0,0.2807761211138214,false,false,true
34,"abdo","#ba:bal:alɑ:lɑ̃:ɑ̃s:̃sə:səm:əmɑ:mɑ̃:ɑ̃s:̃sə:səm:əmɑ:mɑ̃:ɑ̃s:̃sə:səm:əmɑ:mɑ̃:ɑ̃#","balɑ̃səmɑ̃səmɑ̃səmɑ̃",0,0.2696482226959043,false,false,true
34,"abdo","#ba:bal:alɑ:lɑ̃:ɑ̃#","balɑ̃",0,0.2471987011651422,false,false,false
35,"abdomen","#ba:bat:att:tte:tem:eme:men:ent:nt#","battement",0,0.5315211069961068,true,false,false
35,"abdomen","#ba:bal:ale:le#","bale",0,0.3464113267199263,false,false,false
35,"abdomen","#ba:bal:al#","bal",0,0.2597128169169345,false,false,false
36,"abdominaux","#ba:bal:alɑ:lɑ̃:ɑ̃s:̃sə:səm:əmɑ:mɑ̃:ɑ̃#","balɑ̃səmɑ̃",0,0.4235143686583225,true,false,false
36,"abdominaux","#ba:bal:alɔ:lɔt:ɔtə:təm:əmɑ:mɑ̃:ɑ̃#","balɔtəmɑ̃",0,0.4102895937536322,false,false,false
36,"abdominaux","#ba:bal:alɑ:lɑ̃:ɑ̃#","balɑ̃",0,0.3613973393696416,false,false,false
36,"abdominaux","#ba:bal:alɔ:lɔt:ɔtə:təm:əmɑ:mɑ̃:ɑ̃s:̃sə:səm:əmɑ:mɑ̃:ɑ̃#","balɔtəmɑ̃səmɑ̃",0,0.352079428965924,false,false,true
36,"abdominaux","#ba:bal:alɑ:lɑ̃:ɑ̃s:̃sə:səm:əmɑ:mɑ̃:ɑ̃s:̃sə:səm:əmɑ:mɑ̃:ɑ̃#","balɑ̃səmɑ̃səmɑ̃",0,0.3291027313818999,false,false,true
