"utterance","identifier","path","pred","num_tolerance","support","isbest","iscorrect","isnovel"
1,"abaisser","#ab:aba:bai:ais:iss:sse:ser:er#","abaisser",0,0.9999604210910099,true,true,false
1,"abaisser","#ab:abɛ:bɛs:ɛs#","abɛs",0,0.4806019617084949,false,false,false
2,"abandonner","#ab:aba:ban:and:ndo:don:onn:nne:ner:er#","abandonner",0,0.9999867601541349,true,true,false
2,"abandonner","#ac:acc:cce:cep:ept:pte:ter:er#","accepter",0,0.7862165370592726,false,false,false
3,"abasourdir","#ab:aba:bas:aso:sou:our:urd:rdi:dir:ir#","abasourdir",0,0.9999944277832451,true,true,false
3,"abasourdir","#ac:acc:cci:cid:ide:den:ent:nte:ter:er#","accidenter",0,0.39802277989716206,false,false,false
4,"abâtardir","#ab:abâ:bât:âta:tar:ard:rdi:dir:ir#","abâtardir",0,0.99999788947662,true,true,false
5,"abattre","#ab:aba:bat:att:ttr:tre:re#","abattre",0,0.9999910223187074,true,true,false
5,"abattre","#ac:acc:ccu:cus:use:ser:er#","accuser",0,0.6559052968941166,false,false,false
6,"abdiquer","#ab:abd:bdi:diq:iqu:que:uer:er#","abdiquer",0,0.9999975940422258,true,true,false
6,"abdiquer","#ab:abd:bdi:dik:ik#","abdik",0,0.47768464614943723,false,false,false
7,"abêtir","#ab:abê:bêt:êti:tir:ir#","abêtir",0,0.9999937222080962,true,true,false
7,"abêtir","#ab:abr:bru:rut:uti:tir:ir#","abrutir",0,0.885809567156686,false,false,false
7,"abêtir","#ab:abE:bEt:Eti:ti#","abEti",0,0.5634096057215743,false,false,false
8,"abhorrer","#ab:abh:bho:hor:orr:rre:rer:er#","abhorrer",0,0.999997729511216,true,true,false
9,"abîmer","#ab:abî:bîm:îme:mer:er#","abîmer",0,0.9999909774680824,true,true,false
9,"abîmer","#ac:acc:ccr:cro:roc:och:che:her:er#","accrocher",0,0.7894432602955965,false,false,false
9,"abîmer","#aé:aér:ére:rer:er#","aérer",0,0.7441797528538505,false,false,false
9,"abîmer","#ab:abi:bim:im#","abim",0,0.6797809963356483,false,false,false
9,"abîmer","#aʃ:aʃɛ:ʃɛt:ɛtə:təʁ:əʁɔ:ʁɔ̃:ɔ̃#","aʃɛtəʁɔ̃",0,0.11486946902232503,false,false,false
10,"abjurer","#ab:abj:bju:jur:ure:rer:er#","abjurer",0,0.9999889166870258,true,true,false
10,"abjurer","#ab:abʒ:bʒy:ʒyʁ:yʁa:ʁa#","abʒyʁa",0,0.5275500300654364,false,false,false
10,"abjurer","#ab:abʒ:bʒy:ʒyʁ:yʁə:ʁəʁ:əʁa:ʁa#","abʒyʁəʁa",0,0.5006344528154181,false,false,false
