"utterance","identifier","path","pred","num_tolerance","support","isbest","iscorrect","isnovel"
1,"abaissé","#ab:aba:bai:ais:iss:ssé:sé#","abaissé",0,0.7792519027065778,true,true,false
1,"abaissé","#ab:aba:bai:ais:iss:ssé:sée:ée#","abaissée",0,0.527198030847972,false,false,false
1,"abaissé","#ab:aba:bai:ais:iss:ssa:san:ant:nt#","abaissant",0,0.4491292879378125,false,false,true
1,"abaissé","#af:aff:ffa:fai:aib:ibl:bli:lis:iss:ssé:sé#","affaiblissé",0,0.4313244839891549,false,false,true
1,"abaissé","#af:aff:ffa:fai:aib:ibl:bli:lis:iss:ssa:san:ant:nt#","affaiblissant",0,0.25435492868419346,false,false,false
1,"abaissé","#af:aff:ffa:fai:aib:ibl:bli:lis:iss:ssé:sée:ée#","affaiblissée",0,0.23763835015587878,false,false,true
2,"abandonné","#ba:bar:aro:rom:omé:mét:étr:tri:riq:iqu:que:ue#","barométrique",0,0.22824417340638584,true,false,false
2,"abandonné","#ab:aba:ban:and:ndo:don:onn:nni:niq:iqu:que:ue#","abandonnique",0,0.08430134866259764,false,false,false
2,"abandonné","#ba:ban:and:ndo:don:onn:nni:niq:iqu:que:ue#","bandonnique",0,0.05993396012172525,false,false,true
2,"abandonné","#ba:bal:alt:lti:tiq:iqu:que:ue#","baltique",0,0.05956209060208536,false,false,false
3,"abandonnique","#ab:aba:ban:and:ndo:don:onn:nni:niq:iqu:que:ue#","abandonnique",0,0.9412270848704335,true,true,false
3,"abandonnique","#an:and:ndo:don:onn:nni:niq:iqu:que:ue#","andonnique",0,0.597432263012567,false,false,true
3,"abandonnique","#at:att:tti:tiq:iqu:que:ue#","attique",0,-0.05350937852156539,false,false,false
3,"abandonnique","#an:ant:nti:tiq:iqu:que:ue#","antique",0,-0.15435596827978662,false,false,false
3,"abandonnique","#ab:aba:ban:ant:nti:tiq:iqu:que:ue#","abantique",0,-0.18377262018938612,false,false,true
4,"abasourdi","#ab:aba:bas:aso:sou:our:urd:rdi:dis:iss:ssa:san:ant:nt#","abasourdissant",0,0.6168823427184369,true,false,false
4,"abasourdi","#ab:aba:bas:aso:sou:our:urd:rdi:dis:iss:ssa:san:ant:nte:tes:es#","abasourdissantes",0,0.3894397762705528,false,false,false
4,"abasourdi","#as:ass:sso:sou:our:urd:rdi:dis:iss:ssa:san:ant:nt#","assourdissant",0,0.3851599947573261,false,false,false
4,"abasourdi","#ab:aba:bas:ass:sso:sou:our:urd:rdi:dis:iss:ssa:san:ant:nt#","abassourdissant",0,0.3120424642892164,false,false,true
