"utterance","identifier","path","pred","num_tolerance","support","isbest","iscorrect","isnovel"
1,"à-côté","#am:amu:mus:use:sem:eme:men:ent:nt#","amusement",0,0.41883376431428565,true,false,false
1,"à-côté","#am:ama:mai:aig:igr:gri:ris:iss:sse:sem:eme:men:ent:nt#","amaigrissement",0,0.2591250448047407,false,false,false
1,"à-côté","#am:amé:mén:éna:nag:age:gem:eme:men:ent:nt#","aménagement",0,0.25390233799619394,false,false,false
2,"à-coup","#ba:bat:att:tte:tem:eme:men:ent:nt#","battement",0,0.55723085226243,true,false,false
2,"à-coup","#ba:bar:arr:rri:ris:iss:sse:sem:eme:men:ent:nt#","barrissement",0,0.5126938762066228,false,false,false
2,"à-coup","#ba:bai:ais:iss:sse:sem:eme:men:ent:nt#","baissement",0,0.37987480096779513,false,false,false
3,"à-peu-près","#ap:aph:pho:hor:ori:ris:ism:sme:me#","aphorisme",0,0.4447787605817615,true,false,false
3,"à-peu-près","#ar:arr:rri:riv:ivi:vis:ism:sme:me#","arrivisme",0,0.4081945825053836,false,false,false
3,"à-peu-près","#an:ana:nar:arc:rch:chi:his:ism:sme:me#","anarchisme",0,0.391844627559681,false,false,false
3,"à-peu-près","#ar:arr:rri:ris:ism:sme:me#","arrisme",0,0.38592274780201696,false,false,true
3,"à-peu-près","#ar:arc:rch:chi:his:ism:sme:me#","archisme",0,0.30672259422333964,false,false,true
4,"à-pic","#ba:bar:arr:rri:ris:iss:sse:sem:eme:men:ent:nt#","barrissement",0,0.3960806883442907,true,false,false
4,"à-pic","#ba:bas:ast:ste:tem:eme:men:ent:nt#","bastement",0,0.3745006647534965,false,false,true
4,"à-pic","#ba:bas:ast:ste:te#","baste",0,0.35138311415953477,false,false,false
4,"à-pic","#ba:bat:att:tte:tem:eme:men:ent:nt#","battement",0,0.2547964603744361,false,false,false
4,"à-pic","#ba:bat:att:tte:te#","batte",0,0.21480976167737006,false,false,false
5,"à-plat","#an:and:nda:dan:ant:nte:te#","andante",0,0.36392714502210494,true,false,false
5,"à-plat","#an:and:nda:dan:ant:nti:tis:isé:sém:émi:mit:ite:te#","andantisémite",0,0.261383091637539,false,false,true
5,"à-plat","#an:ant:nte:te#","ante",0,0.15191165215498614,false,false,false
5,"à-plat","#an:ant:nti:tis:isé:sém:émi:mit:ite:te#","antisémite",0,0.0975472555401315,false,false,false
6,"à-propos","#am:ame:men:end:nde:dem:eme:men:ent:nt#","amendement",0,0.5655463691202359,true,false,false
6,"à-propos","#am:amu:mus:use:sem:eme:men:ent:nt#","amusement",0,0.5479176370965567,false,false,false
6,"à-propos","#am:amu:mus:use:sem:eme:men:end:nde:dem:eme:men:ent:nt#","amusemendement",0,0.4861942319804923,false,false,true
6,"à-propos","#am:ame:men:end:nde:dem:eme:men:end:nde:dem:eme:men:ent:nt#","amendemendement",0,0.4529573997881802,false,false,true
6,"à-propos","#am:ame:men:ent:nt#","ament",0,0.4481677771455538,false,false,true
6,"à-propos","#am:amu:mus:use:sem:eme:men:end:nde:dem:eme:men:end:nde:dem:eme:men:ent:nt#","amusemendemendement",0,0.38939933448690217,false,false,true
6,"à-propos","#am:ame:men:end:nde:dem:eme:men:end:nde:dem:eme:men:end:nde:dem:eme:men:ent:nt#","amendemendemendement",0,0.3768142360138466,false,false,true
6,"à-propos","#al:ali:lit:ite:tem:eme:men:end:nde:dem:eme:men:ent:nt#","alitemendement",0,0.30060903482842066,false,false,true
6,"à-propos","#al:ali:lit:ite:tem:eme:men:end:nde:dem:eme:men:end:nde:dem:eme:men:ent:nt#","alitemendemendement",0,0.26446717938219355,false,false,true
6,"à-propos","#al:ali:lit:ite:tem:eme:men:ent:nt#","alitement",0,0.25981342621613124,false,false,false
7,"à-valoir","#av:ava:val:ale:leu:eur:ur#","avaleur",0,0.27032127977459863,true,false,false
7,"à-valoir","#av:ava:val:alo:loi:oir:ire:re#","avaloire",0,0.1607104901490795,false,false,false
7,"à-valoir","#av:ava:val:alœ:lœʁ:œʁ#","avalœʁ",0,0.12890560224156006,false,false,false
8,"a","#al:al#","al",0,0.3097240740397618,true,false,false
8,"a","#al:ale:le#","ale",0,0.2681427350971534,false,false,false
8,"a","#al:alb:lb#","alb",0,0.23753802287033265,false,false,false
9,"aa","#al:alb:lbu:bum:umi:min:ine:ne#","albumine",0,0.541996887210128,true,false,false
9,"aa","#am:ami:min:ine:ne#","amine",0,0.3809388036509708,false,false,false
9,"aa","#an:ane:ne#","ane",0,0.3563498929563496,false,false,false
10,"abaca","#ac:act:cti:tin:ine:ne#","actine",0,0.4308290013131314,true,false,false
10,"abaca","#an:ane:ne#","ane",0,0.4147497419884166,false,false,false
