"utterance","identifier","path","pred","num_tolerance","support","isbest","iscorrect","isnovel"
1,"abaisser","#ab:aba:bai:ais:iss:sse:ser:er#","abaisser",0,0.8628375536657008,true,true,false
1,"abaisser","#ab:abo:bon:ond:nde:der:er#","abonder",0,0.6877312564473608,false,false,false
2,"abandonner","#ab:aba:ban:and:ndo:don:onn:nne:ner:er#","abandonner",0,0.8821661132162698,true,true,false
2,"abandonner","#ac:acc:cce:cep:ept:pte:ter:er#","accepter",0,0.7431222248619531,false,false,false
3,"abasourdir","#af:aff:ffo:fol:ole:ler:er#","affoler",0,0.45598026532458946,true,false,false
3,"abasourdir","#ab:abr:bro:rog:oge:ger:er#","abroger",0,0.3231264124402718,false,false,false
4,"abâtardir",,,,,,,
5,"abattre",,,,,,,
6,"abdiquer","#ab:abd:bdi:diq:iqu:que:uer:er#","abdiquer",0,0.849238265388217,true,true,false
6,"abdiquer","#ab:aba:ban:and:ndo:don:onn:nne:ner:er#","abandonner",0,0.6206752828980264,false,false,false
7,"abêtir","#ab:aba:bai:ais:iss:sse:ser:er#","abaisser",0,0.6890363125054991,true,false,false
8,"abhorrer","#ad:adm:dmi:mir:ire:rer:er#","admirer",0,0.6215395977768474,true,false,false
9,"abîmer","#ab:abî:bîm:îme:mer:er#","abîmer",0,0.9002262744707089,true,true,false
9,"abîmer","#am:ami:min:inc:nci:cir:ir#","amincir",0,0.7715832625980835,false,false,false
9,"abîmer","#al:all:lla:lai:ait:ite:ter:er#","allaiter",0,0.6908799578606339,false,false,false
9,"abîmer","#af:aff:ffa:fai:ait:ite:ter:er#","affaiter",0,0.6854427100830071,false,false,true
9,"abîmer","#ac:ach:chè:hèt:ète:ter:er#","achèter",0,0.6557586789624268,false,false,true
10,"abjurer","#ab:abj:bju:jur:ure:rer:er#","abjurer",0,0.8616094598910479,true,true,false
10,"abjurer","#ab:abr:bro:rog:oge:ger:er#","abroger",0,0.5261803847257985,false,false,false
11,"abolir","#ab:abo:bol:oli:lir:ir#","abolir",0,0.8866226566077464,true,true,false
11,"abolir","#ab:abr:bro:rog:oge:ger:er#","abroger",0,0.76904790050532,false,false,false
11,"abolir","#ab:aba:ban:and:ndo:don:onn:nne:ner:er#","abandonner",0,0.6361286974380984,false,false,false
11,"abolir","#ac:acc:cce:cep:ept:pte:ter:er#","accepter",0,0.612560360143972,false,false,false
12,"abominer","#ab:abj:bju:jur:ure:rer:era:rai:ait:it#","abjurerait",0,0.39329797153558677,true,false,false
12,"abominer","#ab:abj:bju:jur:ure:rer:er#","abjurer",0,0.35096304794007166,false,false,false
12,"abominer","#ad:ado:don:onn:nne:ner:era:rai:ait:it#","adonnerait",0,0.09652948373470316,false,false,false
12,"abominer","#ab:abo:bon:onn:nne:ner:era:rai:ait:it#","abonnerait",0,0.07462830839464875,false,false,false
12,"abominer","#ad:ado:don:onn:nne:ner:er#","adonner",0,0.06783273696618593,false,false,false
12,"abominer","#ab:abo:bon:onn:nne:ner:er#","abonner",0,0.04791279733523289,false,false,false
13,"abonder","#ab:abo:bon:ond:nde:der:er#","abonder",0,0.8528156180905919,true,true,false
13,"abonder","#ab:aba:ban:and:nde:der:er#","abander",0,0.6005044499143228,false,false,true
13,"abonder","#ab:abr:bro:rog:oge:ger:er#","abroger",0,0.5693597946586489,false,false,false
14,"abonner","#ab:abo:bon:onn:nne:ner:er#","abonner",0,0.8632991016329297,true,true,false
14,"abonner","#ad:adr:dre:res:ess:sse:ser:er#","adresser",0,0.7501935629531288,false,false,false
14,"abonner","#ab:abo:bon:onn:nne:ner:era:ra#","abonnera",0,0.7190265775079703,false,false,false
14,"abonner","#ab:abo:bon:onn:nne:ner:era:rai:ait:it#","abonnerait",0,0.7075264811445267,false,false,false
14,"abonner","#af:aff:ffi:fic:ich:che:her:er#","afficher",0,0.6913937696726326,false,false,false
14,"abonner","#ac:act:cti:tiv:ive:ver:er#","activer",0,0.6817781111999103,false,false,false
14,"abonner","#ac:acc:ccé:céd:éde:der:er#","accéder",0,0.633205570559766,false,false,false
14,"abonner","#ac:ach:chè:hèt:ète:ter:er#","achèter",0,0.5756117719057441,false,false,true
14,"abonner","#ac:act:cti:tiv:ive:ver:era:ra#","activera",0,0.5481896332215462,false,false,false
14,"abonner","#ac:act:cti:tiv:ive:ver:era:rai:ait:it#","activerait",0,0.5444941176362341,false,false,false
15,"abonnir","#al:alc:lca:cal:ali:lin:ini:nis:ise:sen:ent:nt#","alcalinisent",0,0.37548248007003243,true,false,false
16,"aborder","#ab:abo:bor:ord:rde:der:er#","aborder",0,0.8560756558652376,true,true,false
17,"aboucher",,,,,,,
18,"abouler","#ab:abo:bou:oul:ule:ler:er#","abouler",0,0.5196914622910722,true,true,false
18,"abouler","#ab:abo:bou:oul:ule:le#","aboule",0,0.4689238300394604,false,false,false
19,"aboutir","#ab:abo:bou:out:uti:tir:ir#","aboutir",0,0.7777119321382863,true,true,false
20,"aboyer","#ab:abo:boy:oye:yer:er#","aboyer",0,0.9999726564065377,true,true,false
20,"aboyer","#ab:abo:boi:oie:ier:er#","aboier",0,0.7698622007963717,false,false,true
21,"abréger","#ab:abr:bré:rég:ége:ger:er#","abréger",0,0.8658952699771907,true,true,false
21,"abréger","#al:all:llé:lég:ége:ger:er#","alléger",0,0.7191852497433866,false,false,false
22,"abreuver","#ab:abr:bre:reu:euv:uve:ver:er#","abreuver",0,0.9148254155967305,true,true,false
22,"abreuver","#ab:abo:bon:onn:nne:ner:er#","abonner",0,0.7765893510188718,false,false,false
23,"abriter","#ab:abr:bri:rit:ite:ter:er#","abriter",0,0.9145963258632885,true,true,false
23,"abriter","#am:amé:mén:éna:nag:age:ger:er#","aménager",0,0.7817769919663738,false,false,false
23,"abriter","#ac:acc:ccu:cue:uei:eil:ill:lle:ler:er#","accueiller",0,0.7427743026013884,false,false,true
24,"abroger","#ab:abr:bro:rog:oge:ger:er#","abroger",0,0.9018779127053503,true,true,false
24,"abroger","#am:amn:mni:nis:ist:sti:tie:ier:er#","amnistier",0,0.7453308600019013,false,false,false
24,"abroger","#am:ame:men:end:nde:der:er#","amender",0,0.6670164681064649,false,false,false
24,"abroger","#ab:abo:bou:out:uti:tir:ir#","aboutir",0,0.6094602241849473,false,false,false
24,"abroger","#am:amp:mpu:put:uti:tir:ir#","amputir",0,0.5143458763126864,false,false,true
25,"abrutir",,,,,,,
26,"absenter","#ab:abs:bse:sen:ent:nte:ter:er#","absenter",0,0.9281386467882026,true,true,false
26,"absenter","#ac:acq:cqu:qui:uit:itt:tte:ter:er#","acquitter",0,0.8450618863896358,false,false,false
27,"absorber","#ab:abs:bso:sor:orb:rbe:ber:er#","absorber",0,0.8963869304015682,true,true,false
27,"absorber","#af:aff:ffe:fec:ect:cte:ter:er#","affecter",0,0.7504065413864321,false,false,false
28,"absoudre","#ac:acc:cca:cab:abl:ble:ler:er#","accabler",0,0.8116656243065732,true,false,false
28,"absoudre","#ac:acc:ccu:cus:use:ser:er#","accuser",0,0.7965858532566067,false,false,false
28,"absoudre","#ab:abj:bju:jur:ure:rer:er#","abjurer",0,0.7559139957587215,false,false,false
28,"absoudre","#ab:abu:bus:use:ser:er#","abuser",0,0.7542272880998281,false,false,false
28,"absoudre","#ad:adj:dju:jur:ure:rer:er#","adjurer",0,0.7260093815776472,false,false,false
29,"abstenir","#ab:abs:bst:sti:tie:ien:ent:nt#","abstient",0,0.7662100757872644,true,false,false
30,"abstraire",,,,,,,
31,"abuser","#ab:abu:bus:use:ser:er#","abuser",0,0.7600712910828497,true,true,false
32,"acagnarder",,,,,,,
33,"accabler","#ac:acc:cca:cab:abl:ble:ler:er#","accabler",0,0.9255985127392149,true,true,false
33,"accabler","#ac:acc:ccu:cus:use:ser:er#","accuser",0,0.869136380123235,false,false,false
34,"accaparer","#ac:acc:cca:cap:apa:par:are:rer:er#","accaparer",0,0.9523519530686609,true,true,false
35,"accéder","#ac:acc:ccé:céd:éde:der:er#","accéder",0,0.8126225916499173,true,true,false
35,"accéder","#ad:adr:dre:res:ess:sse:ser:er#","adresser",0,0.45240288144045765,false,false,false
36,"accélérer","#ac:acc:ccé:cél:élé:lér:ére:rer:er#","accélérer",0,0.8618576213047199,true,true,false
36,"accélérer","#am:amo:mor:orc:rce:cer:er#","amorcer",0,0.7505800505003121,false,false,false
36,"accélérer","#am:amé:mél:éli:lio:ior:ore:rer:er#","améliorer",0,0.7203260985818967,false,false,false
36,"accélérer","#am:amp:mpl:pli:lif:ifi:fie:ier:er#","amplifier",0,0.7049429657517917,false,false,false
36,"accélérer","#am:amo:mor:ort:rti:tir:ir#","amortir",0,0.6862236886285554,false,false,false
37,"accentuer","#ac:acc:cce:cen:ent:ntu:tue:uer:er#","accentuer",0,0.908458495103192,true,true,false
37,"accentuer","#am:amp:mpl:pli:lif:ifi:fie:ier:er#","amplifier",0,0.8691827866138131,false,false,false
38,"accepter","#ac:acc:cce:cep:ept:pte:ter:er#","accepter",0,0.7741269253397649,true,true,false
39,"accessoiriser","#ag:agr:gré:rém:éme:men:ent:nte:ter:er#","agrémenter",0,0.6326112620961793,true,false,false
39,"accessoiriser","#ag:agu:gui:uic:ich:che:her:er#","aguicher",0,0.6239024135875229,false,false,false
39,"accessoiriser","#ac:acc:cco:cou:ouc:uch:che:her:er#","accoucher",0,0.4558334279744884,false,false,false
39,"accessoiriser","#ad:ado:dop:opt:pte:ter:er#","adopter",0,0.42328772124213193,false,false,false
40,"accidenter","#ac:ach:che:hem:emi:min:ine:ner:er#","acheminer",0,0.448742531269084,true,false,false
40,"accidenter","#ac:ach:chè:hèt:ète:ter:er#","achèter",0,0.36030525626134713,false,false,true
40,"accidenter","#ac:ach:chè:hèt:ète:ter:era:rai:ais:is#","achèterais",0,0.2564915908857556,false,false,false
41,"acclamer","#ac:acc:ccl:cla:lam:ame:mer:er#","acclamer",0,0.8255671794647795,true,true,false
