"utterance","identifier","path","pred","num_tolerance","support","isbest","iscorrect","isnovel"
1,"à-côté","#am:amu:mus:use:sem:eme:men:ent:nt#","amusement",0,0.5081082233593175,true,false,false
1,"à-côté","#ac:acc:cco:col:ole:lem:eme:men:ent:nt#","accolement",0,0.2016031105892521,false,false,false
1,"à-côté","#ag:agi:gis:iss:sse:sem:eme:men:ent:nt#","agissement",0,0.08146435548282083,false,false,false
2,"à-coup","#ag:agi:gis:iss:sse:sem:eme:men:ent:nt#","agissement",0,0.30896257530733356,true,false,false
2,"à-coup","#ac:acc:ccr:cro:roi:ois:iss:sse:sem:eme:men:ent:nt#","accroissement",0,0.3046816840434819,false,false,false
2,"à-coup","#af:aff:ffa:fai:ais:iss:sse:sem:eme:men:ent:nt#","affaissement",0,0.27926426292200224,false,false,false
3,"à-peu-près","#ar:arr:rra:ran:ang:nge:gem:eme:men:ent:nts:ts#","arrangements",0,0.337342673908447,true,false,false
3,"à-peu-près","#ar:arr:rra:rac:ach:che:hem:eme:men:ent:nts:ts#","arrachements",0,0.2953208063146311,false,false,false
3,"à-peu-près","#ar:arm:rme:mem:eme:men:ent:nts:ts#","armements",0,0.24409268985815505,false,false,false
3,"à-peu-près","#ar:arm:rme:men:ent:nts:ts#","arments",0,0.22031697721953536,false,false,true
4,"à-pic","#ar:arp:rpe:pen:ent:nt#","arpent",0,0.4549114163370803,true,false,false
4,"à-pic","#ar:arr:rri:riè:ièr:ère:re#","arrière",0,0.39185398003261396,false,false,false
4,"à-pic","#ar:are:re#","are",0,0.25780650938427224,false,false,false
5,"à-plat","#an:ant:nti:ti-:i-r:-ri:rid:ide:de#","anti-ride",0,0.18911644822294582,true,false,false
5,"à-plat","#an:ant:nte:te#","ante",0,0.16946725459288664,false,false,false
5,"à-plat","#an:ant:nti:ti-:i-c:-ci:cit:ité:té#","anti-cité",0,-0.06715816871342654,false,false,false
6,"à-propos","#am:amu:mus:use:sem:eme:men:ent:nt#","amusement",0,0.49258097502308534,true,false,false
6,"à-propos","#am:ame:men:ent:nt#","ament",0,0.3231284805374575,false,false,true
6,"à-propos","#am:amu:mus:use:sem:eme:men:end:nde:dem:eme:men:ent:nt#","amusemendement",0,0.29968746224544474,false,false,true
6,"à-propos","#am:ame:men:end:nde:dem:eme:men:ent:nt#","amendement",0,0.28611758228114154,false,false,false
6,"à-propos","#ar:arm:rme:men:ent:nt#","arment",0,0.18877799931204495,false,false,true
6,"à-propos","#am:amu:mus:use:sem:eme:men:end:nde:dem:eme:men:end:nde:dem:eme:men:ent:nt#","amusemendemendement",0,0.17167677689516445,false,false,true
6,"à-propos","#am:ame:men:end:nde:dem:eme:men:end:nde:dem:eme:men:ent:nt#","amendemendement",0,0.17145114442184325,false,false,true
6,"à-propos","#ar:arm:rme:mem:eme:men:ent:nt#","armement",0,0.16627735292425488,false,false,false
6,"à-propos","#ar:arm:rme:men:end:nde:dem:eme:men:ent:nt#","armendement",0,0.1520259616272307,false,false,true
6,"à-propos","#am:ame:men:end:nde:dem:eme:men:end:nde:dem:eme:men:end:nde:dem:eme:men:ent:nt#","amendemendemendement",0,0.1128687953565564,false,false,true
7,"à-valoir","#ar:arr:rri:riè:ièr:ère:re-:e-p:-pe:pet:eti:tit:it-:t-e:-en:enf:nfa:fan:ant:nt#","arrière-petit-enfant",0,0.4508094476721127,true,false,false
7,"à-valoir","#af:aff:ffr:fro:ron:ont:nt#","affront",0,0.2483663133088957,false,false,false
7,"à-valoir","#af:aff:ffr:fro:ron:ont:nte:tem:eme:men:ent:nt#","affrontement",0,0.22130907586214746,false,false,false
7,"à-valoir","#af:aff:ffr:fro:ron:ont:nte:tem:eme:men:ent:nte:tem:eme:men:ent:nt#","affrontementement",0,0.16511173486744204,false,false,true
7,"à-valoir","#af:aff:ffa:fai:air:ire:rem:eme:men:ent:nt#","affairement",0,0.13431327750151942,false,false,false
7,"à-valoir","#af:aff:ffr:fro:ron:ont:nte:tem:eme:men:ent:nte:tem:eme:men:ent:nte:tem:eme:men:ent:nt#","affrontementementement",0,0.12082774783682595,false,false,true
7,"à-valoir","#af:aff:ffa:fai:air:ire:rem:eme:men:ent:nte:tem:eme:men:ent:nt#","affairementement",0,0.11359908908040996,false,false,true
7,"à-valoir","#af:aff:ffa:fai:air:ire:rem:eme:men:ent:nte:tem:eme:men:ent:nte:tem:eme:men:ent:nt#","affairementementement",0,0.08591936945984735,false,false,true
7,"à-valoir","#ar:arr:rri:riè:ièr:ère:rem:eme:men:ent:nt#","arrièrement",0,0.0839507332082014,false,false,true
7,"à-valoir","#ar:arr:rri:riè:ièr:ère:rem:eme:men:ent:nte:tem:eme:men:ent:nt#","arrièrementement",0,0.07352924048917307,false,false,true
8,"a","#al:alt:lte:tes:ess:sse:ses:es#","altesses",0,0.16559509535702063,true,false,false
8,"a","#al:alt:lte:tes:es#","altes",0,0.15705666396898899,false,false,true
8,"a","#al:all:llu:lum:ume:met:ett:tte:tes:es#","allumettes",0,0.15449533916575858,false,false,false
8,"a","#al:all:llu:lum:ume:met:ett:tte:tes:ess:sse:ses:es#","allumettesses",0,0.13401194658556384,false,false,true
8,"a","#al:alt:lte:tes:ess:sse:ses:ess:sse:ses:es#","altessesses",0,0.11102638923531713,false,false,true
8,"a","#al:ale:les:es#","ales",0,0.10120468667141902,false,false,false
8,"a","#al:all:llu:lum:ume:met:ett:tte:tes:ess:sse:ses:ess:sse:ses:es#","allumettessesses",0,0.09908353546109754,false,false,true
8,"a","#al:alt:lte:tes:ess:sse:ses:ess:sse:ses:ess:sse:ses:es#","altessessesses",0,0.0798676969947407,false,false,true
8,"a","#al:all:llu:lum:ume:met:ett:tte:tes:ess:sse:ses:ess:sse:ses:ess:sse:ses:es#","allumettessessesses",0,0.07673907094333722,false,false,true
8,"a","#al:alt:lte:tes:ess:sse:ses:ess:sse:ses:ess:sse:ses:ess:sse:ses:es#","altessessessesses",0,0.06302312473407672,false,false,true
9,"aa","#an:ant:nte:tes:es#","antes",0,0.4452634759213901,true,false,false
9,"aa","#al:ale:les:es#","ales",0,0.3041997076336372,false,false,false
9,"aa","#an:ang:nge:ges:es#","anges",0,0.23616772673094283,false,false,false
10,"abaca","#an:ant:nti:tiq:iqu:que:ue#","antique",0,0.24682280410249258,true,false,false
10,"abaca","#an:ant:nt#","ant",0,0.24395970031546024,false,false,true
10,"abaca","#an:ant:nte:tes:es#","antes",0,0.19618740020801012,false,false,false
