"utterance","identifier","path","pred","num_tolerance","support","isbest","iscorrect","isnovel"
1,"abaisser","#ab:abo:bon:onn:nne:ner:er#","abonner",0,0.4476767729892793,true,false,false
1,"abaisser","#ab:abu:bus:use:ser:er#","abuser",0,0.40054411521744276,false,false,false
1,"abaisser","#al:all:lle:ler:er#","aller",0,0.3982228838046336,false,false,false
2,"abandonner","#ab:abr:bri:rit:ite:ter:er#","abriter",0,0.6393694329274257,true,false,false
2,"abandonner","#ab:abu:bus:use:ser:er#","abuser",0,0.5457751955624655,false,false,false
2,"abandonner","#ab:abo:bon:onn:nne:ner:er#","abonner",0,0.4236593286964223,false,false,false
3,"abasourdir","#as:ass:sse:sen:ene:ner:er#","assener",0,0.6427943764439505,true,false,false
3,"abasourdir","#av:ava:val:ale:ler:er#","avaler",0,0.3756392599049565,false,false,false
3,"abasourdir","#as:ass:ssu:sur:ure:rer:er#","assurer",0,0.08082350496461595,false,false,false
4,"abâtardir","#ab:abo:bon:onn:nne:ner:er#","abonner",0,0.43001285893459434,true,false,false
4,"abâtardir","#ab:aba:bai:ais:iss:sse:ser:er#","abaisser",0,0.42931837772354964,false,false,false
4,"abâtardir","#am:ama:mas:ass:sse:ser:er#","amasser",0,0.318219404907169,false,false,false
5,"abattre","#at:att:tte:ter:er#","atter",0,0.6556848617341863,true,false,true
5,"abattre","#am:ama:mas:ass:sse:ser:er#","amasser",0,0.5372724283047613,false,false,false
5,"abattre","#at:att:tte:ten:ent:nte:ter:er#","attenter",0,0.5248284888264964,false,false,false
5,"abattre","#at:att:tti:tis:ise:ser:er#","attiser",0,0.5222020707193478,false,false,false
6,"abdiquer","#ab:abd:bdi:diq:iqu:que:uer:er#","abdiquer",0,0.9999800791407126,true,true,false
6,"abdiquer","#ab:abu:bus:use:ser:er#","abuser",0,0.5294631527646045,false,false,false
6,"abdiquer","#ab:abr:bri:rit:ite:ter:er#","abriter",0,0.3891436158107193,false,false,false
7,"abêtir","#ab:abo:bon:onn:nne:ner:er#","abonner",0,0.5083826711145125,true,false,false
7,"abêtir","#ab:abr:bri:rit:ite:ter:er#","abriter",0,0.47329162601730707,false,false,false
7,"abêtir","#ab:abu:bus:use:ser:er#","abuser",0,0.27790353678192176,false,false,false
8,"abhorrer","#ad:adu:dul:ule:ler:er#","aduler",0,0.6667438482474062,true,false,false
8,"abhorrer","#ad:adm:dmi:mir:ire:rer:er#","admirer",0,0.35966520747169073,false,false,false
8,"abhorrer","#ab:abo:bon:onn:nne:ner:er#","abonner",0,0.1659938880639512,false,false,false
9,"abîmer","#ag:agi:git:ite:ter:er#","agiter",0,0.7362854443402488,true,false,false
9,"abîmer","#al:ali:lit:ite:ter:er#","aliter",0,0.6101343855600989,false,false,false
9,"abîmer","#al:all:lle:ler:er#","aller",0,0.3749976653853226,false,false,false
10,"abjurer","#ab:abj:bju:jur:ure:rer:er#","abjurer",0,0.9999882212440752,true,true,false
10,"abjurer","#ab:abr:bri:rit:ite:ter:er#","abriter",0,0.35199877704983085,false,false,false
10,"abjurer","#ab:abu:bus:use:ser:er#","abuser",0,0.3407361001258167,false,false,false
11,"abolir","#ab:abu:bus:use:ser:er#","abuser",0,0.43367447803854103,true,false,false
11,"abolir","#ab:abî:bîm:îme:mer:er#","abîmer",0,0.3632908919464987,false,false,false
11,"abolir","#ab:abo:bon:onn:nne:ner:er#","abonner",0,0.1979100107594733,false,false,false
12,"abominer","#ab:abɔ:bɔn:ɔnə:nəʁ:əʁE:ʁE#","abɔnəʁE",0,0.029876152476303566,true,false,false
13,"abonder","#ab:abo:bon:ond:nde:der:er#","abonder",0,0.999807863977063,true,true,false
13,"abonder","#ab:abu:bus:use:ser:er#","abuser",0,0.4191972390160544,false,false,false
13,"abonder","#ab:abo:bon:onn:nne:ner:er#","abonner",0,0.28454941663779393,false,false,false
14,"abonner","#ad:ada:dap:apt:pte:ter:er#","adapter",0,0.7351475801952648,true,false,false
14,"abonner","#al:ali:lit:ite:ter:er#","aliter",0,0.6083978612636719,false,false,false
14,"abonner","#ad:adu:dul:ule:ler:er#","aduler",0,0.3251006212858413,false,false,false
15,"abonnir","#Og:Ogm:gmɑ:mɑ̃:ɑ̃t:̃tə:təʁ:əʁe:ʁe#","Ogmɑ̃təʁe",0,0.3123881824750797,true,false,false
15,"abonnir","#al:alt:ltɛ:tɛʁ:ɛʁə:ʁəʁ:əʁe:ʁe#","altɛʁəʁe",0,0.2926784507404609,false,false,false
15,"abonnir","#al:ali:lim:imɑ:mɑ̃:ɑ̃t:̃tə:təʁ:əʁe:ʁe#","alimɑ̃təʁe",0,0.22809073653862996,false,false,false
