"utterance","identifier","path","pred","num_tolerance","support","isbest","iscorrect","isnovel"
1,"raidir","#pl:pli:lie:ier:er#","plier",0,0.778537282795546,true,false,false
1,"raidir","#pl:pli:lis:iss:sse:ser:er#","plisser",0,0.7358527366106705,false,false,true
1,"raidir","#dé:dép:épl:pli:lis:iss:sse:ser:er#","déplisser",0,0.720205626702102,false,false,false
1,"raidir","#dé:dép:épl:pli:lie:ier:er#","déplier",0,0.7131838143036726,false,false,true
1,"raidir","#ra:rai:ain:ine:ner:er#","rainer",0,0.010779580311915879,false,false,false
2,"lanterner","#la:lan:ant:nte:ter:ern:rne:ner:er#","lanterner",0,0.7613035601771485,true,true,false
2,"lanterner","#la:lan:ant:nte:ter:er#","lanter",0,0.65932058073466,false,false,true
2,"lanterner","#se:ser:erm:rmo:mon:onn:nne:ner:er#","sermonner",0,0.5405544241477743,false,false,false
2,"lanterner","#se:ser:er#","ser",0,0.46514552563697437,false,false,true
2,"lanterner","#al:alt:lte:ter:ern:rne:ner:er#","alterner",0,0.3154292823166225,false,false,false
2,"lanterner","#al:alt:lte:ter:er#","alter",0,0.20887626051156702,false,false,true
3,"traînailler","#re:rep:epa:par:art:rta:tai:aie:ien:ent:nt#","repartaient",0,0.3895428115808417,true,false,true
3,"traînailler","#pa:par:art:rta:tai:aie:ien:ent:nt#","partaient",0,0.37151909588775656,false,false,false
3,"traînailler","#re:rep:epa:par:art:rti:tir:ira:rai:aie:ien:ent:nt#","repartiraient",0,0.3586059129267767,false,false,false
3,"traînailler","#pa:par:art:rti:tir:ira:rai:aie:ien:ent:nt#","partiraient",0,0.3510582221756911,false,false,false
4,"épater","#ép:épa:pat:ate:ter:er#","épater",0,0.7759950443544265,true,true,false
4,"épater","#re:reb:ebu:but:ute:ter:er#","rebuter",0,0.5512178304936614,false,false,false
4,"épater","#as:ass:ssi:sis:ist:ste:ter:er#","assister",0,0.5363688758026122,false,false,false
5,"biberonner","#pa:par:arf:rfu:fum:ume:mer:er#","parfumer",0,0.5741663043104267,true,false,false
5,"biberonner","#pa:par:arf:rfu:fum:ume:mer:era:rai:ait:it#","parfumerait",0,0.42614407350805095,false,false,false
5,"biberonner","#en:enf:nfa:fan:ant:nte:ter:er#","enfanter",0,0.4106212851566349,false,false,false
5,"biberonner","#en:enf:nfa:fan:ant:nte:ter:era:rai:ait:it#","enfanterait",0,0.20378602278455174,false,false,false
6,"vrombir","#vr:vro:rom:omb:mbi:bis:iss:ssa:sai:aie:ien:ent:nt#","vrombissaient",0,0.6891737475580748,true,false,false
6,"vrombir","#vr:vro:rom:omb:mbi:bis:iss:sse:sen:ent:nt#","vrombissent",0,0.6545947862978481,false,false,false
6,"vrombir","#ro:rou:oul:ule:ler:er#","rouler",0,0.5746215073662306,false,false,false
7,"nationaliser","#na:nat:ati:tio:ion:ona:nal:ali:lis:ise:ser:er#","nationaliser",0,0.881152867654663,true,true,false
7,"nationaliser","#na:nat:ati:tio:ion:ona:nal:ali:lis:ise:ser:era:rai:ait:it#","nationaliserait",0,0.6866221729208674,false,false,false
7,"nationaliser","#na:nat:ati:tio:ion:ona:nal:ali:lis:isa:sai:ait:it#","nationalisait",0,0.6360795029798618,false,false,false
8,"allier","#al:all:lli:lie:ier:er#","allier",0,0.8450925273180453,true,true,false
8,"allier","#ad:ado:don:onn:nne:ner:er#","adonner",0,0.7417518336981356,false,false,false
8,"allier","#pl:pli:lie:ier:er#","plier",0,0.4469849580176134,false,false,false
9,"dynamiter","#dy:dyn:yna:nam:ami:mit:ite:ter:er#","dynamiter",0,0.865422335649948,true,true,false
9,"dynamiter","#ré:réa:éal:ali:lis:ise:ser:er#","réaliser",0,0.6486576058409976,false,false,false
9,"dynamiter","#ba:bap:apt:pti:tis:ise:ser:er#","baptiser",0,0.6335824495747268,false,false,false
10,"abroger","#ab:abr:bro:rog:oge:ger:er#","abroger",0,0.88680796600628,true,true,false
10,"abroger","#cr:cri:rim:imi:min:ina:nal:ali:lis:ise:ser:er#","criminaliser",0,0.6919871391989805,false,false,false
10,"abroger","#ab:abr:bro:rog:oge:ger:era:rai:ait:it#","abrogerait",0,0.5728735158370459,false,false,false
10,"abroger","#cr:cri:rim:imi:min:ina:nal:ali:lis:ise:ser:era:rai:ait:it#","criminaliserait",0,0.4168496221603474,false,false,false
11,"désensorceler","#dé:dés:ése:sen:ens:nso:sor:orc:rce:cel:ele:ler:er#","désensorceler",0,0.9999965166011986,true,true,false
11,"désensorceler","#dé:dés:ése:sen:ent:nte:ter:er#","désenter",0,0.7484481500931098,false,false,true
11,"désensorceler","#ba:bap:apt:pti:tis:isè:sèr:ère:ren:ent:nte:ter:er#","baptisèrenter",0,0.5744870621082816,false,false,true
11,"désensorceler","#dé:dés:ése:sen:ent:nt#","désent",0,0.5328537922420867,false,false,true
11,"désensorceler","#en:ent:nte:ter:er#","enter",0,0.3944595181751479,false,false,false
11,"désensorceler","#ba:bap:apt:pti:tis:isè:sèr:ère:ren:ent:nt#","baptisèrent",0,0.38896335664630033,false,false,false
11,"désensorceler","#en:ent:nt#","ent",0,0.0034178078328329278,false,false,true
12,"cabiner","#dé:dél:éli:liv:ivr:vre:rer:era:rai:ait:it#","délivrerait",0,0.20379731287514602,true,false,false
12,"cabiner","#co:coo:oor:ord:rdo:don:onn:nne:ner:era:rai:ait:it#","coordonnerait",0,0.16016647699891795,false,false,false
12,"cabiner","#dé:dés:ésh:sha:hab:abi:bil:ill:lle:ler:era:rai:ait:it#","déshabillerait",0,0.14554334093477792,false,false,false
13,"faciliter","#fa:fac:aci:cil:ili:lit:ite:ter:er#","faciliter",0,0.7455591971843871,true,true,false
13,"faciliter","#fa:fac:aci:cil:ili:lit:ite:ter:era:ra#","facilitera",0,0.39076949514064846,false,false,false
13,"faciliter","#fa:fac:aci:cil:ili:lit:ite:ter:era:rai:ai#","faciliterai",0,0.3527156329173846,false,false,false
