"utterance","identifier","path","pred","num_tolerance","support","isbest","iscorrect","isnovel"
1,"raidir","#ra:rai:ai#","rai",2,0.4160284059233333,true,false,true
1,"raidir","#ra:ras:as#","ras",2,0.20796997640776596,false,false,true
1,"raidir","#re:res:es#","res",2,-0.15342031221905106,false,false,true
2,"lanterner","#da:dai:aig:ign:gne:ner:er#","daigner",2,0.48316168392295655,true,false,false
2,"lanterner","#di:dir:ir#","dir",2,0.4163550273314394,false,false,true
2,"lanterner","#re:rep:epl:plo:lon:onn:nne:ner:er#","replonner",2,0.29014298208007405,false,false,true
2,"lanterner","#ta:tai:ai#","tai",2,0.18990529186474356,false,false,true
2,"lanterner","#ra:rai:ai#","rai",2,0.16108589151322428,false,false,true
2,"lanterner","#da:dai:ai#","dai",2,0.06796654144544609,false,false,true
2,"lanterner","#di:dis:is#","dis",2,0.026571970533762684,false,false,true
2,"lanterner","#ra:ras:as#","ras",2,0.0021213665608839343,false,false,true
2,"lanterner","#re:res:es#","res",2,-0.10809085114163011,false,false,true
3,"traînailler","#tr:tra:raî:aîn:îna:nai:ail:ill:lle:ler:er#","traînailler",2,0.9999873753247294,true,true,false
3,"traînailler","#pa:pal:ala:lab:abr:bra:rai:aie:ien:ent:nt#","palabraient",2,0.46086022002113025,false,false,false
3,"traînailler","#pa:pal:ala:lab:abr:bre:rer:er#","palabrer",2,0.3833663492994528,false,false,false
3,"traînailler","#pa:pal:ala:lab:abr:bre:ren:ent:nt#","palabrent",2,0.379166907618623,false,false,false
3,"traînailler","#pa:pal:ala:lab:abr:bra:ra#","palabra",2,0.35836736149608084,false,false,false
3,"traînailler","#pa:pal:ala:lab:abr:bre:re#","palabre",2,0.3395755063997876,false,false,false
3,"traînailler","#gr:gra:rai:ait:ite:ter:er#","graiter",2,0.32957908741404124,false,false,true
3,"traînailler","#pi:pio:ioc:och:che:her:er#","piocher",2,0.3237163200700391,false,false,false
3,"traînailler","#re:rec:ech:chu:hut:uta:tai:aie:ien:ent:nt#","rechutaient",2,0.3230132749236342,false,false,false
3,"traînailler","#gr:gra:rai:ait:it#","grait",2,0.3122124673878416,false,false,true
4,"épater","#ép:épa:pat:ate:ter:er#","épater",0,0.7613195855337382,true,true,false
4,"épater","#ap:app:ppr:pré:réc:éci:cie:ier:er#","apprécier",1,0.6470067093518954,false,false,false
